channel,min,max,mean,std,roughness,zero_fraction,daily_lag_correlation,weekly_lag_correlation,correlation_with_local_OT_channel,cluster_id,cluster
0,0.0,0.4747,0.04932432740538076,0.06246740527041957,0.7298167181977021,0.0008549931600547196,0.7011075662575348,0.7985038955402811,0.39089985633291074,1,irregular/high variability
1,0.0,0.45,0.046016330369357046,0.04839664717501865,0.6380271822980322,0.006782945736434108,0.7185550491083875,0.7795574172794522,0.34094961316561095,2,low activity
2,0.0,0.4201,0.10586980734154126,0.08220217398272885,0.5292117504366156,0.002165982672138623,0.7257041777575696,0.7796991445471116,0.7261954666499874,1,irregular/high variability
3,0.0,0.4947,0.056632934336525304,0.03674461448276812,0.6722685036632373,0.009347925216598267,0.6688637289166007,0.7304755551518528,0.6801065289745487,2,low activity
4,0.0,0.4069,0.02681187300501596,0.035871171612494084,0.5862087329424687,0.005927952576379389,0.7537559323202796,0.873155900414848,0.27751752413363173,0,strongly periodic
5,0.0,0.5101,0.05652572959416325,0.06652224541512117,0.5499833434521048,0.0008549931600547196,0.7788772576778387,0.8803614053914002,0.6823463326316449,1,irregular/high variability
6,0.0,0.362,0.06288504901960784,0.06100004047356768,0.5358907435230676,0.0008549931600547196,0.7770403617230917,0.9023606507716267,0.7615660696194818,1,irregular/high variability
7,0.0,0.4925,0.06059798221614227,0.05468726899296944,0.5126319421366164,0.00872093023255814,0.8358757922660773,0.89680414521405,0.7648061566671196,0,strongly periodic
8,0.0,0.3664,0.06283881098951209,0.043478102118907305,0.41840562209441107,0.0067259461924304605,0.8452623615511715,0.8883970588035152,0.8430237732395794,0,strongly periodic
9,0.0,0.6983,0.07627482900136798,0.09361465506888657,0.7970814271829207,0.0024509803921568627,0.6720032017436907,0.6946898945107237,0.5785334981173419,1,irregular/high variability
10,0.0,0.2756,0.042895861833105335,0.03464328343703494,0.7255574793730101,0.0033059735522115823,0.7223441957609147,0.7884229244505288,0.6029186682890734,2,low activity
11,0.0,0.4877,0.05309046967624259,0.050663367361811464,0.6479317238948306,0.01801185590515276,0.726997593710482,0.8202911364936079,0.402027984249833,1,irregular/high variability
