dataset,mae_mean,mae_std,mse_mean,mse_std,runs,variant
ETTh1,0.44674696018259147,0.02668585685661345,0.4597375590301711,0.04030028111867802,20,early_fusion
ETTh2,0.40547907725516924,0.039825321567291294,0.3830011359066471,0.05405615152992569,20,early_fusion
ETTm1,0.4171709618980743,0.035545766751476124,0.41207933187222884,0.0591416620282874,20,early_fusion
ETTm2,0.3288541761094708,0.05541655747015407,0.28559759422915915,0.09033327430930825,20,early_fusion
Electricity,0.28192877637207153,0.025075456205073204,0.19266114618611502,0.028714721224835205,20,early_fusion
Traffic,0.31396922200381316,0.008631237791968945,0.47246656842601664,0.020501683686993576,20,early_fusion
Weather,0.28136220165958403,0.05002560959631325,0.2541380257621316,0.06900237237690379,20,early_fusion
ETTh1,0.44766880246022395,0.025509844872877326,0.46109726870069334,0.03907993084868155,20,final_no_exchange
ETTh2,0.4046844005597598,0.03894473894470161,0.3813876373973065,0.05246269201847664,20,final_no_exchange
ETTm1,0.417058577387178,0.03643258800748749,0.41285687395410575,0.06180527942427309,20,final_no_exchange
ETTm2,0.32801200585919904,0.055883059104475274,0.2846071865659795,0.09080393983636417,20,final_no_exchange
Electricity,0.2760469743642663,0.02274890676472149,0.18429601724911213,0.025925394609401433,20,final_no_exchange
Traffic,0.3026340156995221,0.008993305656155836,0.4599022007676756,0.021285107433848826,20,final_no_exchange
Weather,0.27942908520828313,0.051662785222355505,0.25158458304284514,0.07060955539805672,20,final_no_exchange
ETTh1,0.4509530257038678,0.026924671476773236,0.46467714955057576,0.0453161431218836,20,no_linear_bank
ETTh2,0.4081579183207282,0.0360066024441483,0.3864030788718184,0.04869759286832719,20,no_linear_bank
ETTm1,0.41858431431876203,0.030905714608813858,0.4129537677751796,0.05248922221170822,20,no_linear_bank
ETTm2,0.3312338387455512,0.053396621689566624,0.28808675150909663,0.08897634351252498,20,no_linear_bank
Electricity,0.28596627013812087,0.022236616083125573,0.19570097508289414,0.026875200498203085,20,no_linear_bank
Traffic,0.31918165305504037,0.008544998307574039,0.4771203575429663,0.02038717536188305,20,no_linear_bank
Weather,0.28051450670233624,0.050148234130633754,0.25298796844934446,0.0690121388661518,20,no_linear_bank
ETTh1,0.4425685922026915,0.028116317695382056,0.4567500929352969,0.04002612900209432,20,no_multiscale
ETTh2,0.40221145315685175,0.041117296993182124,0.38128787648613366,0.05524430466450594,20,no_multiscale
ETTm1,0.4151291177488333,0.032347580809212094,0.40959778994520296,0.054010472794419145,20,no_multiscale
ETTm2,0.3270171169535288,0.05397765007097831,0.283803557363517,0.08831956670941832,20,no_multiscale
Electricity,0.2822738989203132,0.024450523360699444,0.1943289951421341,0.02847253880094196,20,no_multiscale
Traffic,0.3150519594781894,0.008190906117345588,0.4763609540664577,0.018886273847397737,20,no_multiscale
Weather,0.2805793292937927,0.05079294322487122,0.25326722301493565,0.06980156423131381,20,no_multiscale
ETTh1,0.44674696018259147,0.02668585685661345,0.4597375590301711,0.04030028111867802,20,x_to_z
ETTh2,0.40547907725516924,0.039825321567291294,0.3830011359066471,0.05405615152992569,20,x_to_z
ETTm1,0.4171709618980743,0.035545766751476124,0.41207933187222884,0.0591416620282874,20,x_to_z
ETTm2,0.3288541761094708,0.05541655747015407,0.28559759422915915,0.09033327430930825,20,x_to_z
Electricity,0.28192877637207153,0.025075456205073204,0.19266114618611502,0.028714721224835205,20,x_to_z
Traffic,0.31396922200381316,0.008631237791968945,0.47246656842601664,0.020501683686993576,20,x_to_z
Weather,0.28136220165958403,0.05002560959631325,0.2541380257621316,0.06900237237690379,20,x_to_z
