clustered_ci95_high,clustered_ci95_low,contrast_plus_minus,dataset,effect,interpretation,metric,paired_dataset_horizon_seed_cells
0.0069203311009634,0.0069203311009634,0.0069203311009634,ETTh1,scale,negative contrast favors the +1 level(s),mse,12
0.0041771284269427,0.0041771284269427,0.0041771284269427,ETTh2,scale,negative contrast favors the +1 level(s),mse,12
0.003236062339512,0.003236062339512,0.003236062339512,ETTm1,scale,negative contrast favors the +1 level(s),mse,12
-0.0009895173089993,-0.0009895173089993,-0.0009895173089993,ETTm2,scale,negative contrast favors the +1 level(s),mse,12
0.0004708587699334,0.0004708587699334,0.0004708587699334,Weather,scale,negative contrast favors the +1 level(s),mse,12
-0.004261644651671,-0.004261644651671,-0.004261644651671,Electricity,scale,negative contrast favors the +1 level(s),mse,12
-0.0062129763519622,-0.0062129763519622,-0.0062129763519622,Traffic,scale,negative contrast favors the +1 level(s),mse,12
-0.0053130436436513,-0.0053130436436513,-0.0053130436436513,ETTh1,bank,negative contrast favors the +1 level(s),mse,12
-0.0018686859988701,-0.0018686859988701,-0.0018686859988701,ETTh2,bank,negative contrast favors the +1 level(s),mse,12
0.0021766437439199,0.0021766437439199,0.0021766437439199,ETTm1,bank,negative contrast favors the +1 level(s),mse,12
-0.0047348532606728,-0.0047348532606728,-0.0047348532606728,ETTm2,bank,negative contrast favors the +1 level(s),mse,12
0.0011924911799007,0.0011924911799007,0.0011924911799007,Weather,bank,negative contrast favors the +1 level(s),mse,12
-0.0064396058317445,-0.0064396058317445,-0.0064396058317445,Electricity,bank,negative contrast favors the +1 level(s),mse,12
-0.0078346704600093,-0.0078346704600093,-0.0078346704600093,Traffic,bank,negative contrast favors the +1 level(s),mse,12
-0.0003732763023192,-0.0003732763023192,-0.0003732763023192,ETTh1,continuation,negative contrast favors the +1 level(s),mse,12
0.0002500574320827,0.0002500574320827,0.0002500574320827,ETTh2,continuation,negative contrast favors the +1 level(s),mse,12
0.0003999518273029,0.0003999518273029,0.0003999518273029,ETTm1,continuation,negative contrast favors the +1 level(s),mse,12
-0.0001511402432544,-0.0001511402432544,-0.0001511402432544,ETTm2,continuation,negative contrast favors the +1 level(s),mse,12
-0.0006669627763099,-0.0006669627763099,-0.0006669627763099,Weather,continuation,negative contrast favors the +1 level(s),mse,12
-0.0020476149884768,-0.0020476149884768,-0.0020476149884768,Electricity,continuation,negative contrast favors the +1 level(s),mse,12
-0.0031595673709652,-0.0031595673709652,-0.0031595673709652,Traffic,continuation,negative contrast favors the +1 level(s),mse,12
0.0057384895783478,0.0057384895783478,0.0057384895783478,ETTh1,scale,negative contrast favors the +1 level(s),mae,12
0.0040193356489332,0.0040193356489332,0.0040193356489332,ETTh2,scale,negative contrast favors the +1 level(s),mae,12
0.0026124820734176,0.0026124820734176,0.0026124820734176,ETTm1,scale,negative contrast favors the +1 level(s),mae,12
-0.0006189710261506,-0.0006189710261506,-0.0006189710261506,ETTm2,scale,negative contrast favors the +1 level(s),mae,12
0.0003423629584138,0.0003423629584138,0.0003423629584138,Weather,scale,negative contrast favors the +1 level(s),mae,12
-0.0025245402261633,-0.0025245402261633,-0.0025245402261633,Electricity,scale,negative contrast favors the +1 level(s),mae,12
-0.0033479548465949,-0.0033479548465949,-0.0033479548465949,Traffic,scale,negative contrast favors the +1 level(s),mae,12
-0.0044603686755489,-0.0044603686755489,-0.0044603686755489,ETTh1,bank,negative contrast favors the +1 level(s),mae,12
-0.0023221764889712,-0.0023221764889712,-0.0023221764889712,ETTh2,bank,negative contrast favors the +1 level(s),mae,12
0.0007490495144483,0.0007490495144483,0.0007490495144483,ETTm1,bank,negative contrast favors the +1 level(s),mae,12
-0.0044161555400944,-0.0044161555400944,-0.0044161555400944,ETTm2,bank,negative contrast favors the +1 level(s),mae,12
0.0008502418496357,0.0008502418496357,0.0008502418496357,Weather,bank,negative contrast favors the +1 level(s),mae,12
-0.0067174122799711,-0.0067174122799711,-0.0067174122799711,Electricity,bank,negative contrast favors the +1 level(s),mae,12
-0.0074380169289224,-0.0074380169289224,-0.0074380169289224,Traffic,bank,negative contrast favors the +1 level(s),mae,12
-0.0001869750564687,-0.0001869750564687,-0.0001869750564687,ETTh1,continuation,negative contrast favors the +1 level(s),mae,12
0.0001326221119526,0.0001326221119526,0.0001326221119526,ETTh2,continuation,negative contrast favors the +1 level(s),mae,12
-0.0001126363671653,-0.0001126363671653,-0.0001126363671653,ETTm1,continuation,negative contrast favors the +1 level(s),mae,12
-0.0003044560103504,-0.0003044560103504,-0.0003044560103504,ETTm2,continuation,negative contrast favors the +1 level(s),mae,12
-0.0004914088309616,-0.0004914088309616,-0.0004914088309616,Weather,continuation,negative contrast favors the +1 level(s),mae,12
-0.0014847512999646,-0.0014847512999646,-0.0014847512999646,Electricity,continuation,negative contrast favors the +1 level(s),mae,12
-0.0029113837949336,-0.0029113837949336,-0.0029113837949336,Traffic,continuation,negative contrast favors the +1 level(s),mae,12
