cells,comparison,control_better,control_mean,control_relative_degradation_percent,dataset,full_better,full_mean,metric,seed_clustered_ci95_high_percent,seed_clustered_ci95_low_percent,ties
20,preserved_vs_early_fusion,5,0.4597375590301711,-0.3136619225849713,ETTh1,7,0.46109726870069323,mse,0.03720174942919596,-0.6645255945991385,8
20,preserved_vs_early_fusion,6,0.44674696018259147,-0.21756594017387662,ETTh1,6,0.4476688024602239,mae,0.01120080418200664,-0.44633268452975994,8
20,preserved_vs_early_fusion,1,0.3830011359066471,0.3788978328675402,ETTh2,6,0.3813876373973065,mse,0.8544535955700837,0.01008343815290913,13
20,preserved_vs_early_fusion,2,0.40547907725516924,0.17959844124717794,ETTh2,5,0.4046844005597598,mae,0.4009057943361771,0.004040184427072102,13
20,preserved_vs_early_fusion,5,0.41207933187222884,-0.09520204320640213,ETTm1,9,0.41285687395410575,mse,0.2281818327772772,-0.443929255662402,6
20,preserved_vs_early_fusion,6,0.4171709618980743,0.047209381624320756,ETTm1,8,0.417058577387178,mae,0.24877545393346354,-0.22428200160251546,6
20,preserved_vs_early_fusion,0,0.2855975942291591,0.43033448596646373,ETTm2,15,0.2846071865659795,mse,0.5330999440538586,0.30743971293825445,5
20,preserved_vs_early_fusion,0,0.32885417610947076,0.2861139700574289,ETTm2,15,0.328012005859199,mae,0.36678716088071606,0.20521847087385137,5
20,preserved_vs_early_fusion,0,0.192661146186115,4.456531039415581,Electricity,20,0.18429601724911213,mse,5.001999683917139,3.941516904434117,0
20,preserved_vs_early_fusion,0,0.2819287763720715,2.087616898964993,Electricity,20,0.27604697436426623,mae,2.45720307180735,1.804574050738377,0
20,preserved_vs_early_fusion,0,0.47246656842601664,2.7473318892053444,Traffic,20,0.4599022007676756,mse,2.964186415273633,2.5416074957259935,0
20,preserved_vs_early_fusion,0,0.3139692220038131,3.7547693420835273,Traffic,20,0.3026340156995221,mae,3.886271088477437,3.6277467546538213,0
20,preserved_vs_early_fusion,2,0.2541380257621316,1.2868327010137244,Weather,18,0.2515845830428451,mse,1.806249642405141,0.8748911384279456,0
20,preserved_vs_early_fusion,3,0.28136220165958403,0.8294363166091063,Weather,17,0.27942908520828313,mae,1.3094439762206498,0.44147202854188883,0
20,full_vs_single_scale,17,0.4567500929352969,-0.9610892972749179,ETTh1,3,0.46109726870069323,mse,-0.5342291416833805,-1.2641080884866056,0
20,full_vs_single_scale,18,0.4425685922026915,-1.169915486607212,ETTh1,2,0.4476688024602239,mae,-0.9703872402148633,-1.3895830151349315,0
20,full_vs_single_scale,9,0.38128787648613366,-0.10372575971776428,ETTh2,11,0.3813876373973065,mse,0.9714111399196561,-1.168442708376588,0
20,full_vs_single_scale,13,0.40221145315685175,-0.6609717866424168,ETTh2,7,0.4046844005597598,mae,-0.17126371545234886,-1.1394448784554434,0
20,full_vs_single_scale,12,0.40959778994520296,-0.4789002773240071,ETTm1,8,0.41285687395410575,mse,0.33428529710772314,-1.292085851755737,0
20,full_vs_single_scale,11,0.4151291177488332,-0.3713235942905157,ETTm1,9,0.417058577387178,mae,-0.044697832167686635,-0.6600700206284099,0
20,full_vs_single_scale,10,0.283803557363517,-0.05426371208503422,ETTm2,10,0.2846071865659795,mse,0.14636082393300442,-0.2444428524188708,0
20,full_vs_single_scale,12,0.32701711695352875,-0.2199647050462988,ETTm2,8,0.328012005859199,mae,-0.13684808008767924,-0.307388930563654,0
20,full_vs_single_scale,0,0.19432899514213403,5.4136563008012555,Electricity,20,0.18429601724911213,mse,7.002284878311114,4.184033880774249,0
20,full_vs_single_scale,0,0.2822738989203131,2.234320465994407,Electricity,20,0.27604697436426623,mae,2.930183221394581,1.5873611077441239,0
20,full_vs_single_scale,0,0.4763609540664577,3.6145537820181834,Traffic,20,0.4599022007676756,mse,3.9134469031353936,3.315660660900974,0
20,full_vs_single_scale,0,0.3150519594781894,4.1182232908535665,Traffic,20,0.3026340156995221,mae,4.285379084417276,3.9510674972898565,0
20,full_vs_single_scale,5,0.25326722301493565,0.8131628382542884,Weather,15,0.2515845830428451,mse,1.46338622203109,0.16293945447748645,0
20,full_vs_single_scale,7,0.28057932929379265,0.49033481000774637,Weather,13,0.27942908520828313,mae,1.0458640754868047,-0.06519445547131186,0
20,full_vs_no_bank,13,0.46467714955057576,0.7451334679543864,ETTh1,7,0.46109726870069323,mse,2.768118537624431,-0.4433652787737218,0
20,full_vs_no_bank,6,0.4509530257038678,0.7325534188279282,ETTh1,14,0.4476688024602239,mae,1.6048913330804315,0.16422961401960257,0
20,full_vs_no_bank,6,0.38640307887181835,1.515717152002753,ETTh2,14,0.3813876373973065,mse,2.5152968235575734,0.40859769711899574,0
20,full_vs_no_bank,7,0.4081579183207282,0.9475732037284772,ETTh2,13,0.4046844005597598,mae,1.460663382204227,0.3700810364948687,0
20,full_vs_no_bank,6,0.4129537677751796,0.36265242934281905,ETTm1,14,0.41285687395410575,mse,0.908885250652603,-0.18358039196696485,0
20,full_vs_no_bank,7,0.41858431431876203,0.48612103364409853,ETTm1,13,0.417058577387178,mae,0.9091335013220403,-0.14672100467847332,0
20,full_vs_no_bank,3,0.2880867515090966,1.521478056511576,ETTm2,17,0.2846071865659795,mse,1.9355874541876994,1.1073686588354525,0
20,full_vs_no_bank,4,0.3312338387455511,1.1291873348696668,ETTm2,16,0.328012005859199,mae,1.361726044648865,0.8964069925975032,0
20,full_vs_no_bank,0,0.19570097508289405,6.266786958193171,Electricity,20,0.18429601724911213,mse,7.033683712929909,5.520738481431438,0
20,full_vs_no_bank,0,0.28596627013812087,3.6393922839807447,Electricity,20,0.27604697436426623,mae,3.9851198481212813,3.2396178097335344,0
20,full_vs_no_bank,0,0.4771203575429663,3.7629760877362104,Traffic,20,0.4599022007676756,mse,4.013701181506088,3.451560003338443,0
20,full_vs_no_bank,0,0.31918165305504037,5.480004834236546,Traffic,20,0.3026340156995221,mae,5.84116003375072,5.102197852227574,0
20,full_vs_no_bank,8,0.25298796844934446,0.7916495649542493,Weather,12,0.2515845830428451,mse,1.422687535256006,0.2251818615730178,0
20,full_vs_no_bank,9,0.28051450670233624,0.5096149379627724,Weather,11,0.27942908520828313,mae,1.0958728698239408,0.06767113159948379,0
