cells,control_better,control_worse,dataset,final_mean,mean,mean_relative_degradation_percent,metric,seed_clustered_ci95_high_percent,seed_clustered_ci95_low_percent,ties,variant
12,5,2,ETTh1,0.4609035881714986,0.4600608159869623,-0.163703425751624,mse,-0.03998003850476939,-0.2263681639226689,5,neutral_process_scales
12,4,3,ETTh1,0.4470164746048874,0.44667383776833613,-0.06661021532030631,mae,-0.0007801158123293961,-0.12481732363917586,5,neutral_process_scales
12,1,2,ETTh2,0.38126656252488483,0.38159141506858824,0.06262186342509042,mse,0.31330760082343145,-0.12544201054817128,9,neutral_process_scales
12,1,2,ETTh2,0.4041529952511267,0.40437653136037316,0.04540009106301738,mae,0.19805795882055777,-0.061857685631522275,9,neutral_process_scales
12,7,3,ETTm1,0.4117754751144251,0.40922211467294084,-0.5205651613783455,mse,-0.10565816947159246,-0.8601448538481605,2,neutral_process_scales
12,6,4,ETTm1,0.4170882783186152,0.4163762063773481,-0.140706426877249,mae,0.18842493639907032,-0.4064235447707481,2,neutral_process_scales
12,6,4,ETTm2,0.28449391105994676,0.2844170557964097,-0.04576694175082071,mse,0.15025497904058993,-0.23470161255075284,2,neutral_process_scales
12,5,5,ETTm2,0.3279189649148773,0.32789588847167167,-0.011821209516410525,mae,0.05612164372168771,-0.11736923233959251,2,neutral_process_scales
12,12,0,Electricity,0.18402175779705754,0.18157632974746715,-1.225969900075206,mse,-0.546515059441241,-2.0800457052668113,0,neutral_process_scales
12,9,3,Electricity,0.2758912819461659,0.2751433627700856,-0.25595114903292454,mae,0.09242994004321214,-0.6932199867869332,0,neutral_process_scales
12,1,11,Traffic,0.4595890266717415,0.46091219205651973,0.28710733919170006,mse,0.3406088379385275,0.2434380596057717,0,neutral_process_scales
12,2,10,Traffic,0.3024234317586865,0.3029062704638531,0.16231013877893533,mae,0.17033569116937097,0.15061179973159533,0,neutral_process_scales
12,7,5,Weather,0.2512396577436952,0.2515655482654047,0.11614553240890668,mse,0.2933439450309494,-0.16021503747237487,0,neutral_process_scales
12,6,6,Weather,0.27929194797271706,0.27953294831311654,0.06750118602337392,mae,0.2017657401585965,-0.08015915474325064,0,neutral_process_scales
12,1,5,ETTh1,0.4609035881714986,0.46165817196804,0.17096049611303085,mse,0.4666331165758153,-0.022800251231816504,6,no_sensor_group_priors
12,2,4,ETTh1,0.4470164746048874,0.4475086787807199,0.11281672292605127,mae,0.3391203538750276,-0.027171829354794008,6,no_sensor_group_priors
12,1,1,ETTh2,0.38126656252488483,0.3813020975957698,-0.003683892817309594,mse,0.1143903320962314,-0.12544201054817128,10,no_sensor_group_priors
12,1,1,ETTh2,0.4041529952511267,0.40413725619422786,-0.007540171570393402,mae,0.039237170920325415,-0.061857685631522275,10,no_sensor_group_priors
