bank,batch_size,best_epoch,best_stage,best_validation_mse,checkpoint,config_hash,continuation,continuation_unfreeze_blocks,cross_process_exchange,dataset,decoder_hidden,effective_batch_size,elapsed_seconds,enhancement_protocol,experiment,extension_epochs,final_candidate,gflops_per_sample,gradient_clip,head_learning_rate,horizon,inference_ms_batch,learning_rate,mae,max_train_windows,max_validation_windows,model,mse,nll_weight,num_windows,parameter_difference_percent,parameters,primal_dual,reference_epochs,result_path,result_sha256,reused_source,rmse,scale,seed,selected_config,selected_patch_lens,seq_len,structural_only,target_parameters,trainable_parameters,training_ms_optimizer_step,variant,weight_decay,wide_batch_size
off,16,2,extension,1.0226738470650854,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/capacity/checkpoints/no_bank_decoder_matched/seed42/ETTh1/h192.pt,b41b923b2f099301,,,False,ETTh1,245,16,204.590433399193,latentflow-capacity-controls-all28-seed42-no-exchange-v1,capacity,10,latentflow_process_preserving_unfreeze2,0.039172614,5.0,0.001,192,8.583017167618532,0.0007,0.44015561541079856,2048,1024,LatentFlow,0.44938632509639964,0.02,2689.0,0.0003907455816443356,1535532,False,2,physics_modal_v4/enhancements/results/capacity/runs/no_bank_decoder_matched/seed42/ETTh1/h192.json,6e3330eb4931b5da2a2009dc1f7f067cbf4493eb84b6101fd81dfe7a04816e96,,0.6703628309329207,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [16, 32, 48], 'representation_weight': 0.05}",16-32-48,96,,1535526,,119.89032791680074,no_bank_decoder_matched,0.0001,4
off,16,0,reference,1.2980744542718745,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/capacity/checkpoints/no_bank_decoder_matched/seed42/ETTh1/h336.pt,e654716cd765c0af,,,False,ETTh1,332,16,193.15457574278116,latentflow-capacity-controls-all28-seed42-no-exchange-v1,capacity,10,latentflow_process_preserving_unfreeze2,0.056584278,5.0,0.001,336,8.126923118871224,0.0007,0.45444786439160484,2048,1024,LatentFlow,0.480404585754999,0.02,2545.0,0.0143139502566372,1676926,False,2,physics_modal_v4/enhancements/results/capacity/runs/no_bank_decoder_matched/seed42/ETTh1/h336.json,94295013eac6861e9d4efb9b930d22ce4dddeb7c8e7be83de99e0be617ee41ae,,0.6931122461441573,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [16, 32, 48], 'representation_weight': 0.05}",16-32-48,96,,1676686,,112.71341744286474,no_bank_decoder_matched,0.0001,4
off,16,1,extension,1.573942014149257,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/capacity/checkpoints/no_bank_decoder_matched/seed42/ETTh1/h720.pt,2547afc33bd65a58,,,False,ETTh1,563,16,209.75658443989232,latentflow-capacity-controls-all28-seed42-no-exchange-v1,capacity,10,latentflow_process_preserving_unfreeze2,0.134296534,5.0,0.001,720,8.795230566009657,0.0007,0.47663618422759063,2048,1024,LatentFlow,0.49468081599069286,0.02,2161.0,-0.004962967504240418,2055120,False,2,physics_modal_v4/enhancements/results/capacity/runs/no_bank_decoder_matched/seed42/ETTh1/h720.json,0d525f1597de81017fd3a72ca9c2b4e450c1ec3ae580ac00c0e8d9c7955969be,,0.7033354931970183,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [16, 32, 48], 'representation_weight': 0.05}",16-32-48,96,,2055222,,123.3889399914915,no_bank_decoder_matched,0.0001,4
off,16,1,extension,0.7613332833917368,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/capacity/checkpoints/no_bank_decoder_matched/seed42/ETTh1/h96.pt,fbf708bba91e4c47,,,False,ETTh1,187,16,197.6077458797954,latentflow-capacity-controls-all28-seed42-no-exchange-v1,capacity,10,latentflow_process_preserving_unfreeze2,0.031489766,5.0,0.001,96,8.541318633717436,0.0007,0.4144406640795629,2048,1024,LatentFlow,0.401599952356626,0.02,2785.0,-0.010404513616733788,1441532,False,2,physics_modal_v4/enhancements/results/capacity/runs/no_bank_decoder_matched/seed42/ETTh1/h96.json,68e2c22a09f8c9cb94a11962a2f241f19d9d2fd2fe1b220d98e4925050c7acd2,,0.6337191431199045,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [16, 32, 48], 'representation_weight': 0.05}",16-32-48,96,,1441682,,115.86852451437153,no_bank_decoder_matched,0.0001,4
off,16,0,reference,0.2845045578266893,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/capacity/checkpoints/no_bank_decoder_matched/seed42/ETTh2/h192.pt,21942e5c75e69307,,,False,ETTh2,245,16,213.75941326469183,latentflow-capacity-controls-all28-seed42-no-exchange-v1,capacity,10,latentflow_process_preserving_unfreeze2,0.039172614,5.0,0.001,192,8.835267866710703,0.0007,0.406682197232221,2048,1024,LatentFlow,0.3957700972395023,0.02,2689.0,0.0003985974683746125,1505284,False,2,physics_modal_v4/enhancements/results/capacity/runs/no_bank_decoder_matched/seed42/ETTh2/h192.json,6aac32df5e4077e8e53f854abedb204df60e0b0e54726b267fcc598f10a6ca37,,0.6291026126471756,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [16, 32, 48], 'representation_weight': 0.001}",16-32-48,96,,1505278,,125.66276982834097,no_bank_decoder_matched,0.0001,4
off,16,1,extension,0.36126581006715086,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/capacity/checkpoints/no_bank_decoder_matched/seed42/ETTh2/h336.pt,7160691d2f69dfa8,,,False,ETTh2,332,16,198.85045202448964,latentflow-capacity-controls-all28-seed42-no-exchange-v1,capacity,10,latentflow_process_preserving_unfreeze2,0.056584278,5.0,0.001,336,7.939101420814478,0.0007,0.4269237583109876,2048,1024,LatentFlow,0.41843080835322144,0.02,2545.0,0.01457692303020217,1646678,False,2,physics_modal_v4/enhancements/results/capacity/runs/no_bank_decoder_matched/seed42/ETTh2/h336.json,f5cca520e37e2f2c7c91e55456b15f115479a743316847f3c0c49b37d309db69,,0.6468622792783805,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [16, 32, 48], 'representation_weight': 0.001}",16-32-48,96,,1646438,,116.56132158386754,no_bank_decoder_matched,0.0001,4
off,16,0,reference,0.6073418619140746,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/capacity/checkpoints/no_bank_decoder_matched/seed42/ETTh2/h720.pt,0c6ebb18bbb7260e,,,False,ETTh2,563,16,203.95280314609408,latentflow-capacity-controls-all28-seed42-no-exchange-v1,capacity,10,latentflow_process_preserving_unfreeze2,0.134296534,5.0,0.001,720,8.69262927740034,0.0007,0.44190338406669594,2048,1024,LatentFlow,0.4241259903975479,0.02,2161.0,-0.005037101710935548,2024872,False,2,physics_modal_v4/enhancements/results/capacity/runs/no_bank_decoder_matched/seed42/ETTh2/h720.json,62055602faf233ce151a35d3bb26e552d7af89be5b22178c6dcb62f447a6752c,,0.6512495607657236,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [16, 32, 48], 'representation_weight': 0.001}",16-32-48,96,,2024974,,119.59386594862735,no_bank_decoder_matched,0.0001,4
off,16,0,reference,0.22307775391354448,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/capacity/checkpoints/no_bank_decoder_matched/seed42/ETTh2/h96.pt,0e2a847874f4135a,,,False,ETTh2,187,16,211.34536639903672,latentflow-capacity-controls-all28-seed42-no-exchange-v1,capacity,10,latentflow_process_preserving_unfreeze2,0.031489766,5.0,0.001,96,8.905295503993298,0.0007,0.3487646054720139,2048,1024,LatentFlow,0.3010691321690062,0.02,2785.0,-0.010627489489412894,1411284,False,2,physics_modal_v4/enhancements/results/capacity/runs/no_bank_decoder_matched/seed42/ETTh2/h96.json,16d5c624ed0a47313e341dcbb72bc9d9de0e608362db1c48d11a6d496934cdda,,0.5486976691849585,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [16, 32, 48], 'representation_weight': 0.001}",16-32-48,96,,1411434,,123.84249282731616,no_bank_decoder_matched,0.0001,4
off,16,1,extension,0.5096011259371326,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/capacity/checkpoints/no_bank_decoder_matched/seed42/ETTm1/h192.pt,f713afd21d845147,,,False,ETTm1,249,16,208.3110469430685,latentflow-capacity-controls-all28-seed42-no-exchange-v1,capacity,10,latentflow_process_preserving_unfreeze2,0.063466758,5.0,0.001,192,8.502740473545762,0.0007,0.3996375857588918,2048,1024,LatentFlow,0.38404316198236127,0.02,11329.0,-0.00013392277209424414,1493396,False,2,physics_modal_v4/enhancements/results/capacity/runs/no_bank_decoder_matched/seed42/ETTm1/h192.json,05a9a7a8852abff2f972ae04552267f8be8b9f1f2313b28f9b7501dcad65d5d3,,0.619712160589383,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [8, 24, 48], 'representation_weight': 0.01}",8-24-48,96,,1493398,,119.27185261665727,no_bank_decoder_matched,0.0001,4
off,16,2,extension,0.6546068544290504,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/capacity/checkpoints/no_bank_decoder_matched/seed42/ETTm1/h336.pt,00eeb72e7d6250aa,,,False,ETTm1,339,16,199.05610460136086,latentflow-capacity-controls-all28-seed42-no-exchange-v1,capacity,10,latentflow_process_preserving_unfreeze2,0.09152223,5.0,0.001,336,7.923979498979697,0.0007,0.42886523258768755,2048,1024,LatentFlow,0.4268635159203469,0.02,11185.0,0.015273555488216146,1637066,False,2,physics_modal_v4/enhancements/results/capacity/runs/no_bank_decoder_matched/seed42/ETTm1/h336.json,105470414692bc0549e691c894decd4f23a8b07b16db3ea036a55570d027a63c,,0.6533479286875767,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [8, 24, 48], 'representation_weight': 0.01}",8-24-48,96,,1636816,,114.1833759014844,no_bank_decoder_matched,0.0001,4
