bank,batch_size,best_epoch,best_stage,best_validation_mse,candidate,checkpoint,config_hash,continuation,continuation_unfreeze_blocks,cross_process_exchange,dataset,effective_batch_size,elapsed_seconds,enhancement_protocol,experiment,extension_epochs,final_candidate,gradient_clip,head_learning_rate,horizon,inducing_points,inference_ms_batch,latent_dim,learning_rate,mae,max_train_windows,max_validation_windows,model,mse,nll_weight,num_windows,parameters,patch_lens,primal_dual,reference_epochs,representation_weight,result_path,result_sha256,reused_source,rmse,scale,seed,selected_config,selected_patch_lens,selection_protocol,seq_len,structural_only,trainable_parameters,training_ms_optimizer_step,variant,weight_decay,wide_batch_size
on,16,2,extension,1.01528117309014,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTh1/h192.pt,6db6211b3774c5ce,early,2,False,ETTh1,16,139.06562549993396,latentflow-central-all28-five-seed-no-exchange-v1,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,192,,8.057617010760628,,0.0007,0.4359484592005332,2048,1024,LatentFlow,0.4454155189162745,0.02,2689.0,1535526,,False,2,,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTh1/h192.json,02a6375a519c2ff27a7dc7b57b6ef61f75cf2c718d411c3370654b53798010fc,,0.6673945751324882,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [16, 32, 48], 'representation_weight': 0.05}",16-32-48,,96,False,0,103.69468307253555,early_fusion,0.0001,4
on,16,0,reference,1.2844313245241334,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTh1/h336.pt,0d8ede807aedc0fa,early,2,False,ETTh1,16,137.89211094379425,latentflow-central-all28-five-seed-no-exchange-v1,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,336,,7.975690606156293,,0.0007,0.45415585197978037,2048,1024,LatentFlow,0.4817180077371921,0.02,2545.0,1676686,,False,2,,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTh1/h336.json,c25cae573f7d836e5f22d099614d75a16f713e701eaff61a0d9bfbd802ca6622,,0.6940590808693393,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [16, 32, 48], 'representation_weight': 0.05}",16-32-48,,96,False,0,102.8226685772097,early_fusion,0.0001,4
on,16,1,extension,1.5587898814488972,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTh1/h720.pt,3d10c535e64ac8af,early,2,False,ETTh1,16,135.75909433467314,latentflow-central-all28-five-seed-no-exchange-v1,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,720,,7.837463768004482,,0.0007,0.4786009474572534,2048,1024,LatentFlow,0.49215886750318655,0.02,2161.0,2055222,,False,2,,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTh1/h720.json,d4be38c08c197fd905a840849e074455ef98728aac2f6915976ba711654fa71b,,0.701540353438907,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [16, 32, 48], 'representation_weight': 0.05}",16-32-48,,96,False,0,101.43807456734066,early_fusion,0.0001,4
on,16,0,reference,0.7638911305084115,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTh1/h96.pt,3d875743e9f2eb6c,early,2,False,ETTh1,16,132.95482245704625,latentflow-central-all28-five-seed-no-exchange-v1,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,96,,8.095550529841828,,0.0007,0.4114095289177025,2048,1024,LatentFlow,0.4032240676423306,0.02,2785.0,1441682,,False,2,,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTh1/h96.json,4be75b5456a0225da97ca145d5f0349ddee3c8f463f6f743007cb9115f0a7b2d,,0.6349992658596785,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [16, 32, 48], 'representation_weight': 0.05}",16-32-48,,96,False,0,98.9067408898336,early_fusion,0.0001,4
on,16,0,reference,0.2718099478987001,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTh2/h192.pt,0abb22a2ee9a2077,early,2,False,ETTh2,16,124.3465985096991,latentflow-central-all28-five-seed-no-exchange-v1,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,192,,7.46312119557472,,0.0007,0.3902497946414888,2048,1024,LatentFlow,0.36935875294162884,0.02,2689.0,1505278,,False,2,,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTh2/h192.json,088518364f18be0250cf805ef7a0715f4df6ee40832ba3dafb572ba42c67490a,,0.6077489226165924,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [16, 32, 48], 'representation_weight': 0.001}",16-32-48,,96,False,0,92.66338037705282,early_fusion,0.0001,4
on,16,0,reference,0.3575856243672014,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTh2/h336.pt,3aa94d6a73e6920e,early,2,False,ETTh2,16,137.98650584369898,latentflow-central-all28-five-seed-no-exchange-v1,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,336,,7.8970606061571,,0.0007,0.42654472275517485,2048,1024,LatentFlow,0.41643647069421075,0.02,2545.0,1646438,,False,2,,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTh2/h336.json,ef0ad6eaf104b76a719b601c45a20ed8288c62ec536a0d4de6f6a57d85406e07,,0.6453188906999475,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [16, 32, 48], 'representation_weight': 0.001}",16-32-48,,96,False,0,102.95657257083803,early_fusion,0.0001,4
on,16,0,reference,0.6150716898933289,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTh2/h720.pt,1911a616f0f9262c,early,2,False,ETTh2,16,138.48688999190927,latentflow-central-all28-five-seed-no-exchange-v1,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,720,,8.2772309620823,,0.0007,0.43879702215362193,2048,1024,LatentFlow,0.4136213828137338,0.02,2161.0,2024974,,False,2,,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTh2/h720.json,6263834064da11c220b97e69aff2d630da6800098da0689473e9823c01659359,,0.6431340317645566,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [16, 32, 48], 'representation_weight': 0.001}",16-32-48,,96,False,0,103.33062952377077,early_fusion,0.0001,4
on,16,0,reference,0.21927327236958913,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTh2/h96.pt,7fd366135d2a43cb,early,2,False,ETTh2,16,133.7054725449998,latentflow-central-all28-five-seed-no-exchange-v1,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,96,,7.683642309514343,,0.0007,0.34268046750302417,2048,1024,LatentFlow,0.2934846773242975,0.02,2785.0,1411434,,False,2,,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTh2/h96.json,7d510d477ccbfdb913c5d54f5cc66956e425c7bf3c702ff7f313bb2f23255ab8,,0.5417422609731471,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [16, 32, 48], 'representation_weight': 0.001}",16-32-48,,96,False,0,99.66435648439074,early_fusion,0.0001,4
on,16,1,extension,0.5081209504001197,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTm1/h192.pt,2bf953f4dd209fc0,early,2,False,ETTm1,16,146.7556451074779,latentflow-central-all28-five-seed-no-exchange-v1,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,192,,8.36537838445863,,0.0007,0.399763873331066,2048,1024,LatentFlow,0.38498163545956293,0.02,11329.0,1493398,,False,2,,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTm1/h192.json,689180e13c5b5e01c41db9b9bda3f1bcd005f0c84b251bf37c9aff232b845f08,,0.6204688835546573,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [8, 24, 48], 'representation_weight': 0.01}",8-24-48,,96,False,0,105.81532658543438,early_fusion,0.0001,4
on,16,4,extension,0.6516235282226485,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTm1/h336.pt,80478875f80dd7ec,early,2,False,ETTm1,16,145.3279213591013,latentflow-central-all28-five-seed-no-exchange-v1,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,336,,7.965613553836878,,0.0007,0.4212892901389582,2048,1024,LatentFlow,0.4229558263398904,0.02,11185.0,1636816,,False,2,,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTm1/h336.json,f4df8e9cf62552ca93349f0084f4c5edf627bc4cadd73ffece98ec87a81ad7e9,,0.6503505411237007,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [8, 24, 48], 'representation_weight': 0.01}",8-24-48,,96,False,0,105.04933235461067,early_fusion,0.0001,4
