dataset,horizon,mae_mean,mae_std,mse_mean,mse_std,runs,variant
ETTh1,192,0.43715696289408923,0.0026253092320049683,0.4500533063900338,0.0039871786686656386,5,early_fusion
ETTh1,336,0.4572538005896716,0.0027830221895218826,0.4891146859558937,0.006787638273804612,5,early_fusion
ETTh1,720,0.4815215630527563,0.002462197349501501,0.49949710872425956,0.006598626533260386,5,early_fusion
ETTh1,96,0.411055514193849,0.0022469053959993336,0.4002851350504975,0.004331001245030141,5,early_fusion
ETTh2,192,0.39681113994183403,0.004306537708271565,0.3815106290221335,0.007342492169935218,5,early_fusion
ETTh2,336,0.4305488235805838,0.006168015694674811,0.421093241720382,0.010018157835058314,5,early_fusion
ETTh2,720,0.44778271196286806,0.0063894829113567845,0.4307969481258045,0.011682032418729747,5,early_fusion
ETTh2,96,0.34677363353539115,0.0034512340264700398,0.2986037247582685,0.0036515941108231564,5,early_fusion
ETTm1,192,0.3997864795423921,0.0030966236951384674,0.3871264713826057,0.006933468093483243,5,early_fusion
ETTm1,336,0.4245802588394662,0.008579184458130957,0.42766880291365456,0.019042475071312893,5,early_fusion
ETTm1,720,0.4683281460828058,0.008176568218678116,0.4939209139630689,0.012478130249443374,5,early_fusion
ETTm1,96,0.3759889631276331,0.0037308180977654827,0.33960113922958635,0.005180930611832727,5,early_fusion
ETTm2,192,0.30285480874862347,0.001992466109413349,0.24284982220569734,0.0020482498211793587,5,early_fusion
ETTm2,336,0.3463544153326936,0.00038817286666429073,0.3087525784588652,0.0011838529339533155,5,early_fusion
ETTm2,720,0.40605930914048105,0.0014750162177950782,0.41464623608393814,0.001931586911346811,5,early_fusion
ETTm2,96,0.26014817121608486,0.0013087352918127013,0.17614174016813594,0.002018089864122918,5,early_fusion
Electricity,192,0.2667998003916931,0.0013158598011925328,0.17597179326746212,0.0013836840285553194,5,early_fusion
Electricity,336,0.2841667603849386,0.0023103013365623954,0.19353719240865502,0.0027019018168958297,5,early_fusion
Electricity,720,0.3203285058091113,0.005433670404258602,0.23722827874403124,0.006273850546589848,5,early_fusion
Electricity,96,0.25642003890254284,0.0010919691687339007,0.16390732032431182,0.0016043724017815962,5,early_fusion
Traffic,192,0.3081995037946632,0.0006151010616800142,0.46172286862684064,0.0023250937126568626,5,early_fusion
Traffic,336,0.3122731170485577,0.002019124500676392,0.4741046291664057,0.004576493666321092,5,early_fusion
Traffic,720,0.3276783375474389,0.0031605150532017477,0.5033460456619762,0.0038024211305455274,5,early_fusion
Traffic,96,0.3077259296245926,0.0032506127105391327,0.45069273024884404,0.004849336076511293,5,early_fusion
Weather,192,0.2588354131192926,0.0023715228471287773,0.2178975932659954,0.002722296188165374,5,early_fusion
Weather,336,0.30027222450153096,0.0011143470746794238,0.2761452381449298,0.0012710631061605608,5,early_fusion
Weather,720,0.34884341940687047,0.001300244459630802,0.3511970092906874,0.0006812194925431318,5,early_fusion
Weather,96,0.21749774961064242,0.0026126538965572797,0.17131226234691396,0.0030024856773960256,5,early_fusion
ETTh1,192,0.4384213237866822,0.004721198085468362,0.45167314956055166,0.007264661238888605,5,final_no_exchange
ETTh1,336,0.45695542584013893,0.0031429291149319746,0.48893428259980665,0.007010167470538615,5,final_no_exchange
ETTh1,720,0.4812601830166482,0.0011641093804995073,0.5000977259408034,0.005309916351231013,5,final_no_exchange
ETTh1,96,0.4140382771974263,0.0043141771466926136,0.4036839167016117,0.00479366696772546,5,final_no_exchange
ETTh2,192,0.39679707735885095,0.0043089405824382546,0.3812493967037596,0.007316288707563001,5,final_no_exchange
ETTh2,336,0.42953086008239866,0.0046703849644618815,0.41880761376797154,0.007467256568814657,5,final_no_exchange
ETTh2,720,0.4455885541262795,0.005003077162340971,0.4267151760834512,0.009990251056637285,5,final_no_exchange
ETTh2,96,0.34682111067151045,0.0035772750134781418,0.2987783630340438,0.003943855103913707,5,final_no_exchange
ETTm1,192,0.39927663215645,0.0033928575775468103,0.38593679615685517,0.007885061330672422,5,final_no_exchange
ETTm1,336,0.4255779987312341,0.008610716138545063,0.4295736487782051,0.01804332612808959,5,final_no_exchange
ETTm1,720,0.46904994815563256,0.007985665224170367,0.498565494335542,0.012856406079257162,5,final_no_exchange
ETTm1,96,0.3743297305053953,0.002891942302890422,0.33735155654582083,0.0052454316291029625,5,final_no_exchange
