dataset,mae_mean,mae_std,mse_mean,mse_std,runs,train_budget_label
ETTh1,0.47897038987278223,0.024910006154019518,0.5098132975999783,0.03532610398052354,4,0128
ETTh2,0.41873414628943845,0.046225421073060484,0.4092925767415108,0.06597635697941068,4,0128
ETTm1,0.4581970654372053,0.026306873648285423,0.4915213281066263,0.04947169034871787,4,0128
ETTm2,0.33415996294396944,0.05825572933895743,0.2936971595179923,0.09877564952876251,4,0128
Electricity,0.36483505072084843,0.011949887943458496,0.28275842256618405,0.01757859478674356,4,0128
Traffic,0.4750182984975572,0.010972232302730516,0.7728733522965178,0.035955027247633005,4,0128
Weather,0.2957713611904386,0.05210385283480368,0.27607030075003886,0.07475890883103058,4,0128
ETTh1,0.4575722518855153,0.03272721111510674,0.4757055814975887,0.04774063589062047,4,0512
ETTh2,0.4117058689836392,0.04760547143893028,0.39306039299347423,0.0647103729370505,4,0512
ETTm1,0.42488930684621684,0.02715410459594746,0.4273357917507561,0.05014098744356846,4,0512
ETTm2,0.3339680055002989,0.059889356943582724,0.29254884014285315,0.1004644253587264,4,0512
Electricity,0.30674879151761153,0.023391119850524625,0.2212444461046317,0.028539714868648935,4,0512
Traffic,0.36480465881624724,0.0015198745085601198,0.5425499380706793,0.010477730180032849,4,0512
Weather,0.2884098883078001,0.05489539078997944,0.26527871235144485,0.07589533121361533,4,0512
ETTh1,0.4462863090348553,0.029281841356537535,0.4579904840334626,0.041749248165519996,4,2048
ETTh2,0.39956800176332746,0.0431651095772067,0.3732253209434677,0.057365976764164134,4,2048
ETTm1,0.41910801486527705,0.04223894026813124,0.4168253577158374,0.07131420556256682,4,2048
ETTm2,0.32794246268533067,0.06440120312365813,0.28408703870620383,0.10331769543667953,4,2048
Electricity,0.27482194740055776,0.02447671950894591,0.18227772261293335,0.026911358250570342,4,2048
Traffic,0.3022067729391257,0.011082136147184599,0.4584515231666251,0.025016703088720126,4,2048
Weather,0.2794215763117058,0.05823394945840992,0.2511165294834915,0.07923855755079076,4,2048
ETTh1,0.47008280669717456,0.06833416129150142,0.512450365402274,0.12923055105882233,4,all
ETTh2,0.4006563595816379,0.04334687328059053,0.3772704712005249,0.06331256040208526,4,all
ETTm1,0.418961144228529,0.037609176174019675,0.426069183135063,0.05719141305258012,4,all
ETTm2,0.33860154587922814,0.06592224359407632,0.3039704328323407,0.10922404548702744,4,all
Electricity,0.2660574800414446,0.029050691164887368,0.1714767914822281,0.030014970589214342,4,all
Traffic,0.2821586601808253,0.011030009326832851,0.43369953635108466,0.027582568292733447,4,all
Weather,0.2757391696642248,0.06121430685255835,0.2492409549617177,0.08490137821391003,4,all
