bank,batch_size,best_epoch,best_stage,best_validation_mse,candidate,checkpoint,config_hash,continuation,continuation_unfreeze_blocks,cross_process_exchange,dataset,effective_batch_size,elapsed_seconds,enhancement_protocol,experiment,extension_epochs,final_candidate,gradient_clip,head_learning_rate,horizon,inducing_points,inference_ms_batch,latent_dim,learning_rate,mae,max_train_windows,max_validation_windows,model,mse,nested_anchor_windows,nested_subset_seed,nll_weight,num_training_windows,num_validation_windows,num_windows,parameters,patch_lens,primal_dual,reference_epochs,representation_weight,result_path,result_sha256,reused_source,rmse,scale,seed,selected_config,selected_patch_lens,selection_protocol,seq_len,structural_only,train_budget,train_budget_label,trainable_parameters,training_ms_optimizer_step,validation_window_seed,variant,weight_decay,wide_batch_size
on,16,5,extension,0.8453036450913974,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/data_budget/checkpoints/train_0128/seed42/ETTh1/h96.pt,50155098258d9fdd,preserved,2,False,ETTh1,16,41.845068430528045,latentflow-nested-data-budget-all28-seed42-no-exchange-v1,data_budget,10,latentflow_process_preserving_unfreeze2,5.0,0.001,96,,8.11789214955589,,0.0007,0.44846160792790796,128,1024,LatentFlow,0.46212230162854134,2048,9042,0.02,128,1024,2785.0,1441682,,False,2,,physics_modal_v4/enhancements/results/data_budget/runs/train_0128/seed42/ETTh1/h96.json,6265f132e35f4ca4b76cf6c380d8a4fa18aad8cb40c1d05c3abee8b86a8e01eb,,0.6797957793547569,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [16, 32, 48], 'representation_weight': 0.05}",16-32-48,,96,False,128,0128,0,351.5759195201099,5042,train_0128,0.0001,4
on,16,4,extension,1.1034860500977153,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/data_budget/checkpoints/train_0128/seed42/ETTh1/h192.pt,3ff86afa3e612c78,preserved,2,False,ETTh1,16,39.81102211587131,latentflow-nested-data-budget-all28-seed42-no-exchange-v1,data_budget,10,latentflow_process_preserving_unfreeze2,5.0,0.001,192,,7.9705109540930765,,0.0007,0.47141439055207535,128,1024,LatentFlow,0.503940139848465,2048,9042,0.02,128,1024,2689.0,1535526,,False,2,,physics_modal_v4/enhancements/results/data_budget/runs/train_0128/seed42/ETTh1/h192.json,b7865d495a534c82c23c5adf305c2b0b09cb82e48444009de745b729e781f578,,0.7098874135019334,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [16, 32, 48], 'representation_weight': 0.05}",16-32-48,,96,False,128,0128,0,331.929765525274,5042,train_0128,0.0001,4
on,16,0,reference,1.3559496678462646,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/data_budget/checkpoints/train_0128/seed42/ETTh1/h336.pt,cb13bc9d26a48422,preserved,2,False,ETTh1,16,36.925486190244555,latentflow-nested-data-budget-all28-seed42-no-exchange-v1,data_budget,10,latentflow_process_preserving_unfreeze2,5.0,0.001,336,,7.447428114217105,,0.0007,0.4893661569787772,128,1024,LatentFlow,0.5369931850813427,2048,9042,0.02,128,1024,2545.0,1676686,,False,2,,physics_modal_v4/enhancements/results/data_budget/runs/train_0128/seed42/ETTh1/h336.json,cd8c48f8a1f1f13b63b13bf89de3121d00f7592ee7f0617aab45c7177c43aec7,,0.7327981885085025,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [16, 32, 48], 'representation_weight': 0.05}",16-32-48,,96,False,128,0128,0,305.14042773866095,5042,train_0128,0.0001,4
on,16,0,reference,1.6156410989307222,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/data_budget/checkpoints/train_0128/seed42/ETTh1/h720.pt,a0ec13feb840f929,preserved,2,False,ETTh1,16,42.433574388269335,latentflow-nested-data-budget-all28-seed42-no-exchange-v1,data_budget,10,latentflow_process_preserving_unfreeze2,5.0,0.001,720,,8.485721313019297,,0.0007,0.5066394040323683,128,1024,LatentFlow,0.5361975638415639,2048,9042,0.02,128,1024,2161.0,2055222,,False,2,,physics_modal_v4/enhancements/results/data_budget/runs/train_0128/seed42/ETTh1/h720.json,00a06023efec6917cb1573fffc3dcb9e6854726501978932dcf61c424ee88fc7,,0.7322551220999167,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [16, 32, 48], 'representation_weight': 0.05}",16-32-48,,96,False,128,0128,0,357.7874329406768,5042,train_0128,0.0001,4
on,16,1,extension,0.24069547138753392,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/data_budget/checkpoints/train_0128/seed42/ETTh2/h96.pt,39d56a2d293ecc8c,preserved,2,False,ETTh2,16,40.82096960581839,latentflow-nested-data-budget-all28-seed42-no-exchange-v1,data_budget,10,latentflow_process_preserving_unfreeze2,5.0,0.001,96,,8.12682140123293,,0.0007,0.35757881747338166,128,1024,LatentFlow,0.31507571459203804,2048,9042,0.02,128,1024,2785.0,1411434,,False,2,,physics_modal_v4/enhancements/results/data_budget/runs/train_0128/seed42/ETTh2/h96.json,833ba6d1f63bdee18390e7b17302d2b80f99eab3509f01b32847212f9c2ad5b0,,0.5613160558829918,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [16, 32, 48], 'representation_weight': 0.001}",16-32-48,,96,False,128,0128,0,342.809392651543,5042,train_0128,0.0001,4
on,16,8,extension,0.2899517989052193,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/data_budget/checkpoints/train_0128/seed42/ETTh2/h192.pt,a001299c4e7eaae0,preserved,2,False,ETTh2,16,41.9120280072093,latentflow-nested-data-budget-all28-seed42-no-exchange-v1,data_budget,10,latentflow_process_preserving_unfreeze2,5.0,0.001,192,,8.46331749490635,,0.0007,0.41087230804037495,128,1024,LatentFlow,0.4144430075911288,2048,9042,0.02,128,1024,2689.0,1505278,,False,2,,physics_modal_v4/enhancements/results/data_budget/runs/train_0128/seed42/ETTh2/h192.json,0b23b3bd842c0d40774b3e8c9fd5bb8466f78b0841e2e7894e5f8a90a1b07d0e,,0.6437724812316296,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [16, 32, 48], 'representation_weight': 0.001}",16-32-48,,96,False,128,0128,0,351.79258611169644,5042,train_0128,0.0001,4
on,16,0,reference,0.3707858585581488,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/data_budget/checkpoints/train_0128/seed42/ETTh2/h336.pt,2e17405b2462c5d7,preserved,2,False,ETTh2,16,40.67296402901411,latentflow-nested-data-budget-all28-seed42-no-exchange-v1,data_budget,10,latentflow_process_preserving_unfreeze2,5.0,0.001,336,,7.983313590476785,,0.0007,0.4425914096680601,128,1024,LatentFlow,0.44410775767889044,2048,9042,0.02,128,1024,2545.0,1646438,,False,2,,physics_modal_v4/enhancements/results/data_budget/runs/train_0128/seed42/ETTh2/h336.json,27aab7982e1f1334fa370c3ec925b1b3395d7b6d2c0a0530b0d974a383729987,,0.6664141037514816,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [16, 32, 48], 'representation_weight': 0.001}",16-32-48,,96,False,128,0128,0,340.4818973504007,5042,train_0128,0.0001,4
on,16,0,reference,0.6146461235152351,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/data_budget/checkpoints/train_0128/seed42/ETTh2/h720.pt,e0e837d06fbe27d0,preserved,2,False,ETTh2,16,40.97330394014716,latentflow-nested-data-budget-all28-seed42-no-exchange-v1,data_budget,10,latentflow_process_preserving_unfreeze2,5.0,0.001,720,,8.285047639328152,,0.0007,0.46389404997593725,128,1024,LatentFlow,0.463543827103986,2048,9042,0.02,128,1024,2161.0,2024974,,False,2,,physics_modal_v4/enhancements/results/data_budget/runs/train_0128/seed42/ETTh2/h720.json,f7050c6e5a017c9395bca4fddeae820d3f29c93d98b925d286aa29bd172f2690,,0.6808405298628938,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [16, 32, 48], 'representation_weight': 0.001}",16-32-48,,96,False,128,0128,0,346.42228020820767,5042,train_0128,0.0001,4
on,16,6,extension,0.4585941872071652,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/data_budget/checkpoints/train_0128/seed42/ETTm1/h96.pt,04ce57ad99605548,preserved,2,False,ETTm1,16,46.792789505794644,latentflow-nested-data-budget-all28-seed42-no-exchange-v1,data_budget,10,latentflow_process_preserving_unfreeze2,5.0,0.001,96,,8.159147183636797,,0.0007,0.432047788632516,128,1024,LatentFlow,0.4409446453608435,2048,9042,0.02,128,1024,11425.0,1398606,,False,2,,physics_modal_v4/enhancements/results/data_budget/runs/train_0128/seed42/ETTm1/h96.json,077e92f8691a001d4847e96b55ac3e221c053169a02a56d18c2bb70cc319d047,,0.6640366295324706,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [8, 24, 48], 'representation_weight': 0.01}",8-24-48,,96,False,128,0128,0,355.34378844313323,5042,train_0128,0.0001,4
on,16,6,extension,0.5782478985687097,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/data_budget/checkpoints/train_0128/seed42/ETTm1/h192.pt,a02032f6c2fa2ba4,preserved,2,False,ETTm1,16,47.67366667371243,latentflow-nested-data-budget-all28-seed42-no-exchange-v1,data_budget,10,latentflow_process_preserving_unfreeze2,5.0,0.001,192,,8.457090087825119,,0.0007,0.4445265467047074,128,1024,LatentFlow,0.47041270598883245,2048,9042,0.02,128,1024,11329.0,1493398,,False,2,,physics_modal_v4/enhancements/results/data_budget/runs/train_0128/seed42/ETTm1/h192.json,929da0e8f2e2f30a7cc2fed5a5d009887fb38ea5584a005f48e61ff477e62b55,,0.6858663907707043,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [8, 24, 48], 'representation_weight': 0.01}",8-24-48,,96,False,128,0128,0,362.5538132269867,5042,train_0128,0.0001,4
on,16,7,extension,0.7192558054210377,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/data_budget/checkpoints/train_0128/seed42/ETTm1/h336.pt,0668c3c91a7e7adb,preserved,2,False,ETTm1,16,46.988356749061495,latentflow-nested-data-budget-all28-seed42-no-exchange-v1,data_budget,10,latentflow_process_preserving_unfreeze2,5.0,0.001,336,,8.25230360236606,,0.0007,0.46374244119312746,128,1024,LatentFlow,0.4976202567810658,2048,9042,0.02,128,1024,11185.0,1636816,,False,2,,physics_modal_v4/enhancements/results/data_budget/runs/train_0128/seed42/ETTm1/h336.json,edfacd417bbe1301fd862ea31c5e8889647da286b9d9c1237e7cae463ab280bf,,0.70542204160422,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [8, 24, 48], 'representation_weight': 0.01}",8-24-48,,96,False,128,0128,0,357.01844131108373,5042,train_0128,0.0001,4
on,16,8,extension,1.1003062456373185,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/data_budget/checkpoints/train_0128/seed42/ETTm1/h720.pt,fe0e309309c2370f,preserved,2,False,ETTm1,16,43.46048329398036,latentflow-nested-data-budget-all28-seed42-no-exchange-v1,data_budget,10,latentflow_process_preserving_unfreeze2,5.0,0.001,720,,7.451014390121316,,0.0007,0.4924714852184701,128,1024,LatentFlow,0.5571077042957633,2048,9042,0.02,128,1024,10801.0,2026480,,False,2,,physics_modal_v4/enhancements/results/data_budget/runs/train_0128/seed42/ETTm1/h720.json,15f0d48a5ad6f3a3fe9cd8597d55e06403de72658c287984658471c9dcf08296,,0.7463964792895015,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [8, 24, 48], 'representation_weight': 0.01}",8-24-48,,96,False,128,0128,0,328.6934580770321,5042,train_0128,0.0001,4
on,16,10,extension,0.13383858952493893,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/data_budget/checkpoints/train_0128/seed42/ETTm2/h96.pt,dd687d1b812c1fa9,preserved,2,False,ETTm2,16,43.04297582479194,latentflow-nested-data-budget-all28-seed42-no-exchange-v1,data_budget,10,latentflow_process_preserving_unfreeze2,5.0,0.001,96,,7.4880379944423225,,0.0007,0.2699819612716702,128,1024,LatentFlow,0.18619540135736476,2048,9042,0.02,128,1024,11425.0,1373530,,False,2,,physics_modal_v4/enhancements/results/data_budget/runs/train_0128/seed42/ETTm2/h96.json,7bcc8ea08d5d43283e7cc01c0aea70aa3851320947739e428135f676306a7316,,0.4315036516153308,multiscale,42,"{'inducing_points': 16, 'latent_dim': 8, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,,96,False,128,0128,0,322.59505663532764,5042,train_0128,0.0001,4
on,16,8,extension,0.1757377583001341,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/data_budget/checkpoints/train_0128/seed42/ETTm2/h192.pt,5739938c9cd86533,preserved,2,False,ETTm2,16,44.75379194505513,latentflow-nested-data-budget-all28-seed42-no-exchange-v1,data_budget,10,latentflow_process_preserving_unfreeze2,5.0,0.001,192,,7.8712566716193395,,0.0007,0.31031548210911025,128,1024,LatentFlow,0.25350920769921265,2048,9042,0.02,128,1024,11329.0,1468534,,False,2,,physics_modal_v4/enhancements/results/data_budget/runs/train_0128/seed42/ETTm2/h192.json,ca9c36fdd06a08390d6e82d9cb20bc415ab14f1974e123108328d4e943225748,,0.5034969788382178,multiscale,42,"{'inducing_points': 16, 'latent_dim': 8, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,,96,False,128,0128,0,339.19287265161984,5042,train_0128,0.0001,4
on,16,8,extension,0.22072557963076092,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/data_budget/checkpoints/train_0128/seed42/ETTm2/h336.pt,26c930bd7f6f0e2c,preserved,2,False,ETTm2,16,47.42688085511327,latentflow-nested-data-budget-all28-seed42-no-exchange-v1,data_budget,10,latentflow_process_preserving_unfreeze2,5.0,0.001,336,,8.31077386355588,,0.0007,0.34971214479507995,128,1024,LatentFlow,0.31659075287674393,2048,9042,0.02,128,1024,11185.0,1612484,,False,2,,physics_modal_v4/enhancements/results/data_budget/runs/train_0128/seed42/ETTm2/h336.json,758eed5ccbde5628af4f51c58612a0dd5fd1ffec5cc1a5eebf83fff4fac6527f,,0.5626639786557728,multiscale,42,"{'inducing_points': 16, 'latent_dim': 8, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,,96,False,128,0128,0,360.43728559743613,5042,train_0128,0.0001,4
on,16,8,extension,0.30228931288870553,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/data_budget/checkpoints/train_0128/seed42/ETTm2/h720.pt,8a3d5fec0954d181,preserved,2,False,ETTm2,16,44.50762792676687,latentflow-nested-data-budget-all28-seed42-no-exchange-v1,data_budget,10,latentflow_process_preserving_unfreeze2,5.0,0.001,720,,7.946407787214401,,0.0007,0.4066302636000173,128,1024,LatentFlow,0.41849327613864795,2048,9042,0.02,128,1024,10801.0,2004620,,False,2,,physics_modal_v4/enhancements/results/data_budget/runs/train_0128/seed42/ETTm2/h720.json,f1fc2b97b861833e8bca38380c69612aa2ee2e9048e25846a389eeb9ad71312a,,0.6469105627044962,multiscale,42,"{'inducing_points': 16, 'latent_dim': 8, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,,96,False,128,0128,0,335.7619587564841,5042,train_0128,0.0001,4
on,16,8,extension,0.5282414225595338,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/data_budget/checkpoints/train_0128/seed42/Weather/h96.pt,4a6bc224f8045127,preserved,2,False,Weather,16,58.034956676885486,latentflow-nested-data-budget-all28-seed42-no-exchange-v1,data_budget,10,latentflow_process_preserving_unfreeze2,5.0,0.001,96,,7.650353563820712,,0.0007,0.23633031840382626,128,1024,LatentFlow,0.19495687618871702,2048,9042,0.02,128,1024,10445.0,1389340,,False,2,,physics_modal_v4/enhancements/results/data_budget/runs/train_0128/seed42/Weather/h96.json,252a27b13bda362df3f6695ecae04bfe114196a36c046edec03da2278a83c669,,0.44153921251539713,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,,96,False,128,0128,0,518.6538849491626,5042,train_0128,0.0001,4
on,16,7,extension,0.5633713023530112,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/data_budget/checkpoints/train_0128/seed42/Weather/h192.pt,8919e675defb7c19,preserved,2,False,Weather,16,58.40035619772971,latentflow-nested-data-budget-all28-seed42-no-exchange-v1,data_budget,10,latentflow_process_preserving_unfreeze2,5.0,0.001,192,,7.974320710744968,,0.0007,0.2776265087572674,128,1024,LatentFlow,0.24513194525486146,2048,9042,0.02,128,1024,10349.0,1484344,,False,2,,physics_modal_v4/enhancements/results/data_budget/runs/train_0128/seed42/Weather/h192.json,609fd4bf3d1eb406e53b7a2f6eb968a6988cb257aa73e3681061fb3832f53d23,,0.4951080137251481,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,,96,False,128,0128,0,523.0836810776964,5042,train_0128,0.0001,4
on,16,8,extension,0.6476598434707745,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/data_budget/checkpoints/train_0128/seed42/Weather/h336.pt,def857bb4cbd8269,preserved,2,False,Weather,16,57.61594187095761,latentflow-nested-data-budget-all28-seed42-no-exchange-v1,data_budget,10,latentflow_process_preserving_unfreeze2,5.0,0.001,336,,7.890633535834978,,0.0007,0.30934352734154535,128,1024,LatentFlow,0.29367540761934724,2048,9042,0.02,128,1024,10205.0,1628294,,False,2,,physics_modal_v4/enhancements/results/data_budget/runs/train_0128/seed42/Weather/h336.json,1aa5d3a9fb6dc83991ae6c187ae4dfbd759ef5851337855bdd1ba46b68f7b791,,0.541918266548884,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,,96,False,128,0128,0,512.5495144864544,5042,train_0128,0.0001,4
on,16,9,extension,0.7645521799723307,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/data_budget/checkpoints/train_0128/seed42/Weather/h720.pt,73a92230ef25e498,preserved,2,False,Weather,16,58.63142478791997,latentflow-nested-data-budget-all28-seed42-no-exchange-v1,data_budget,10,latentflow_process_preserving_unfreeze2,5.0,0.001,720,,7.963030247529056,,0.0007,0.35978509025911537,128,1024,LatentFlow,0.3705169739372297,2048,9042,0.02,128,1024,9821.0,2020430,,False,2,,physics_modal_v4/enhancements/results/data_budget/runs/train_0128/seed42/Weather/h720.json,3fc1619d422c373f80d9399d4e040a8efd095c256d4366b8241285cd80c1e698,,0.6087010546542775,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,,96,False,128,0128,0,522.0031575125176,5042,train_0128,0.0001,4
on,16,10,extension,0.2419427464931801,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/data_budget/checkpoints/train_0128/seed42/Electricity/h96.pt,9ef8829412260e13,preserved,2,False,Electricity,16,170.6183497644961,latentflow-nested-data-budget-all28-seed42-no-exchange-v1,data_budget,10,latentflow_process_preserving_unfreeze2,5.0,0.001,96,,7.996251096212586,,0.0007,0.3660313902905263,128,1024,LatentFlow,0.2819254490145673,2048,9042,0.02,128,1024,5167.0,1387123,,False,2,,physics_modal_v4/enhancements/results/data_budget/runs/train_0128/seed42/Electricity/h96.json,624f14b3d7fdbcc967d2bab272bf407dbce5608ddc7b459dc4a81bee539559a8,,0.5309665234405718,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,,96,False,128,0128,0,1703.7692119600251,5042,train_0128,0.0001,4
on,16,10,extension,0.22704494048997,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/data_budget/checkpoints/train_0128/seed42/Electricity/h192.pt,11faf50ec918e5e7,preserved,2,False,Electricity,16,176.0270967297256,latentflow-nested-data-budget-all28-seed42-no-exchange-v1,data_budget,10,latentflow_process_preserving_unfreeze2,5.0,0.001,192,,8.267838768307914,,0.0007,0.35109574300422225,128,1024,LatentFlow,0.2646087286206981,2048,9042,0.02,128,1024,5071.0,1482127,,False,2,,physics_modal_v4/enhancements/results/data_budget/runs/train_0128/seed42/Electricity/h192.json,ac22f85dfaadb256c8dcbf12a2c66ae404db881a1a52b86282448c4d820b8c00,,0.5144013303061123,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [8, 16, 32], 'representation_weight': 0.001}",8-16-32,,96,False,128,0128,0,1762.1228314004838,5042,train_0128,0.0001,4
