component,dataset,horizon,mae,mse
final,ETTh1,720,0.4786009474572534,0.49215886750318655
field_deployed,ETTh1,720,1.3324571712287643,3.8481995526884245
field_uniform,ETTh1,720,0.7743120586556966,1.3256320327547295
field_permuted,ETTh1,720,1.332767787868988,3.8526064445629147
bank_deployed,ETTh1,720,0.5584340299539062,0.6640477304811737
bank_uniform,ETTh1,720,0.6501407050818837,0.860463059715646
bank_permuted,ETTh1,720,0.5577979061091712,0.6622571464020712
bank_sample_oracle,ETTh1,720,0.5745845383543464,0.6688285866584217
trend,ETTh1,720,0.5952616621168637,0.7116407105343092
field_direct,ETTh1,720,0.5094338639593341,0.5402646183204927
field_patch_16,ETTh1,720,1.771406016131203,6.749616202860629
field_patch_32,ETTh1,720,1.0831345365173246,3.63983180075075
field_patch_48,ETTh1,720,0.7490050234368401,1.1654616190236036
bank_centered_linear,ETTh1,720,0.6305828253943004,0.8633582271124445
bank_decomposition_linear,ETTh1,720,0.6088656687650176,0.7712243212903895
bank_analytic_trend,ETTh1,720,1.818736052312606,7.147510916005196
bank_persistence,ETTh1,720,0.731275588472461,1.2552275326677131
bank_global,ETTh1,720,0.557494849856358,0.6614823962070858
field_global,ETTh1,720,1.3298709905726425,3.8165524626055243
final,ETTh1,96,0.4114095289177025,0.4032240676423306
field_deployed,ETTh1,96,0.48057342704426603,0.5403293291646171
field_uniform,ETTh1,96,0.5035369052513549,0.5893707432583416
field_permuted,ETTh1,96,0.48049267011187347,0.5401080936817692
bank_deployed,ETTh1,96,0.464463335943699,0.516013460827045
bank_uniform,ETTh1,96,0.4702772716930853,0.5050707758456466
bank_permuted,ETTh1,96,0.4649578910776109,0.5168841967045003
bank_sample_oracle,ETTh1,96,0.49649685405304955,0.5313532411272509
trend,ETTh1,96,0.5580875871568152,0.7008387403120452
field_direct,ETTh1,96,0.4430027225419702,0.4510505733667729
field_patch_16,ETTh1,96,0.6734711810341347,1.0717218618041544
field_patch_32,ETTh1,96,0.6133793507109873,0.8261673870153525
field_patch_48,ETTh1,96,0.5648677965835841,0.7107898293575323
bank_centered_linear,ETTh1,96,0.5859905946700096,0.8561454027098775
bank_decomposition_linear,ETTh1,96,0.5310186761968756,0.6957672047066752
bank_analytic_trend,ETTh1,96,0.6827721684551997,0.9925719310169884
bank_persistence,ETTh1,96,0.6955739711954867,1.2350012081733592
bank_global,ETTh1,96,0.46491511268188496,0.5152676344345887
field_global,ETTh1,96,0.4792555459821449,0.5380350286414137
final,ETTm1,336,0.4212892901389582,0.4229558263398904
field_deployed,ETTm1,336,1.2393558174889119,3.780081799073668
field_uniform,ETTm1,336,0.8722195505184884,1.7357639655759365
field_permuted,ETTm1,336,1.2395676964792914,3.781643260819516
bank_deployed,ETTm1,336,0.5743487622477388,0.793773341582229
bank_uniform,ETTm1,336,0.6615841452344193,1.012005385377401
bank_permuted,ETTm1,336,0.5741495412882609,0.793099604137884
bank_sample_oracle,ETTm1,336,0.567163911856075,0.739022881995608
trend,ETTm1,336,0.5662378065348403,0.7219106927102666
field_direct,ETTm1,336,0.4634114478302394,0.5089283759137215
field_patch_8,ETTm1,336,2.0405619465050004,12.758097181426074
field_patch_24,ETTm1,336,1.7446816940251704,8.170384553182513
field_patch_48,ETTm1,336,0.893155482360859,2.503876439105857
bank_centered_linear,ETTm1,336,0.6868538173842944,1.2840612260013877
bank_decomposition_linear,ETTm1,336,0.6226467534026909,0.9248189580377117
bank_analytic_trend,ETTm1,336,2.0221794303051914,10.91230390081896
bank_persistence,ETTm1,336,0.6957279339250054,1.2528831112828842
bank_global,ETTm1,336,0.5739239453824965,0.7918325174383339
field_global,ETTm1,336,1.2354958583058533,3.7366475824647236
final,ETTm1,720,0.479489364208168,0.5139667242193918
field_deployed,ETTm1,720,2.268516916479053,12.387925286027675
field_uniform,ETTm1,720,1.627003916527785,6.352516268392348
field_permuted,ETTm1,720,2.2683137349401137,12.387813106836356
bank_deployed,ETTm1,720,0.6536094937969281,0.9860026096381538
bank_uniform,ETTm1,720,0.9801261737071768,2.2823689104755953
bank_permuted,ETTm1,720,0.6535510387249082,0.9857349532432617
bank_sample_oracle,ETTm1,720,0.6383625982584364,0.9277547151546539
trend,ETTm1,720,0.581085685344633,0.7456973960031826
field_direct,ETTm1,720,0.5406942441942951,0.6678849464251787
field_patch_8,ETTm1,720,4.947818159196787,60.17602773371311
field_patch_24,ETTm1,720,3.0253663959455213,22.07914974043294
field_patch_48,ETTm1,720,0.9271549697380336,2.0857650731339703
bank_centered_linear,ETTm1,720,0.7461429148815769,1.4074323319626443
bank_decomposition_linear,ETTm1,720,0.7630315992645759,1.3607151602911363
bank_analytic_trend,ETTm1,720,3.6924614773079485,38.44480835760851
bank_persistence,ETTm1,720,0.7155142477276702,1.2794571571020967
bank_global,ETTm1,720,0.65474070700098,0.9894218752023554
field_global,ETTm1,720,2.267038305444952,12.375046608889829
final,Electricity,336,0.2852614630619167,0.19472323194298286
field_deployed,Electricity,336,0.600891860430617,0.8684432122888626
field_uniform,Electricity,336,0.5291068358405344,0.6296732899040951
field_permuted,Electricity,336,0.6010054444381272,0.8684413067620161
bank_deployed,Electricity,336,0.3983775772127252,0.3127645140124854
bank_uniform,Electricity,336,0.5428149701287439,0.5422318555970669
bank_permuted,Electricity,336,0.39826028732641877,0.31253505311414964
bank_sample_oracle,Electricity,336,0.43115239680789796,0.36015105618897647
trend,Electricity,336,0.7649306562670614,0.8609767990338439
field_direct,Electricity,336,0.45258467459747653,0.3727039247721432
field_patch_8,Electricity,336,1.4321028418847264,3.854136474855619
field_patch_16,Electricity,336,1.053971436077829,2.920731240316923
field_patch_32,Electricity,336,1.1059374744969253,2.856587564208754
bank_centered_linear,Electricity,336,0.6239320463953968,0.6918433556357134
bank_decomposition_linear,Electricity,336,0.43115239680789796,0.36015105618897647
bank_analytic_trend,Electricity,336,1.296711346037758,3.2581000987996926
bank_persistence,Electricity,336,0.9258411491765837,1.4884873183488576
bank_global,Electricity,336,0.3970833482124792,0.3113909413289237
field_global,Electricity,336,0.6008235559068101,0.8680251676846218
final,Traffic,192,0.30903464282904125,0.46258079488073733
field_deployed,Traffic,192,0.4969994187568628,0.9264339579684013
field_uniform,Traffic,192,0.5141080829838827,0.8135924998379233
field_permuted,Traffic,192,0.4976260390905153,0.928266593594517
bank_deployed,Traffic,192,0.6161086786276443,0.9567690948839763
bank_uniform,Traffic,192,0.6031480837233769,0.9609647125448667
bank_permuted,Traffic,192,0.6162756230602677,0.9572184473659262
bank_sample_oracle,Traffic,192,0.6263803220309774,0.9782665871887275
trend,Traffic,192,0.8061259167392526,1.4129267794581521
field_direct,Traffic,192,0.5586059328331809,0.8900788533644388
field_patch_8,Traffic,192,0.6649066382186077,1.5251449208731027
field_patch_16,Traffic,192,1.0624434665749207,2.3461223662888764
field_patch_32,Traffic,192,1.1805250450910239,3.178390628339658
bank_centered_linear,Traffic,192,0.8074884100812365,1.4886180871213446
bank_decomposition_linear,Traffic,192,0.6278349355758073,0.9918751460224186
bank_analytic_trend,Traffic,192,1.2098466534929408,2.841085240480921
bank_persistence,Traffic,192,1.0399555758905732,2.4112624772855935
bank_global,Traffic,192,0.6162239227066758,0.9564119407145439
field_global,Traffic,192,0.49682874494298074,0.9271308935898807
final,Weather,720,0.3506985500528912,0.35200429896336977
field_deployed,Weather,720,0.6999557515676863,1.355467331456408
field_uniform,Weather,720,0.6283984959147965,1.079073376689897
field_permuted,Weather,720,0.6998726902569553,1.354725218659794
bank_deployed,Weather,720,0.42418197916670874,0.48318615356287936
bank_uniform,Weather,720,0.5467345562400214,0.7865536955017465
bank_permuted,Weather,720,0.4242345882069046,0.4833259045579901
bank_sample_oracle,Weather,720,0.3606242590059654,0.3701083765620715
trend,Weather,720,0.3766579130439497,0.38090258398249466
field_direct,Weather,720,0.3822173044413403,0.4001081664808294
field_patch_8,Weather,720,1.004136774842515,3.2118587188602574
field_patch_16,Weather,720,1.2472726004201227,4.469248587097437
field_patch_32,Weather,720,1.7405594040189432,8.434950618762691
bank_centered_linear,Weather,720,0.4337084011782551,0.5122218914838843
bank_decomposition_linear,Weather,720,0.4606362606870825,0.568907021871855
bank_analytic_trend,Weather,720,1.8300613714806377,10.016479004963482
bank_persistence,Weather,720,0.3915482998380586,0.44627806354571903
bank_global,Weather,720,0.424578835604451,0.4820256389860059
field_global,Weather,720,0.7024776750885325,1.3608213189517462
