bank,continuation,dataset,mae_mean,mae_std,mse_mean,mse_std,runs,scale,variant
off,early,ETTh1,0.45191095478614823,0.02953968170852274,0.46818168564171275,0.05144062639043785,12,multiscale,scale-multiscale__bank-off__continuation-early
off,early,ETTh2,0.4079107871244964,0.03595325428703711,0.3864436897896377,0.049126936486908294,12,multiscale,scale-multiscale__bank-off__continuation-early
off,early,ETTm1,0.4171651208784793,0.03207460033435066,0.40992360869294503,0.053517451904402026,12,multiscale,scale-multiscale__bank-off__continuation-early
off,early,ETTm2,0.3309118232735421,0.054695218273504716,0.28767229812561884,0.09082068911635452,12,multiscale,scale-multiscale__bank-off__continuation-early
off,early,Electricity,0.28580547986744165,0.022357600991020046,0.1957786216779598,0.026937857102353333,12,multiscale,scale-multiscale__bank-off__continuation-early
off,early,Traffic,0.31898117913805507,0.009319642776094272,0.4778703520851644,0.02160725794240377,12,multiscale,scale-multiscale__bank-off__continuation-early
off,early,Weather,0.27994024876415863,0.05170236423984382,0.2523565879600768,0.0705454323220124,12,multiscale,scale-multiscale__bank-off__continuation-early
off,preserved,ETTh1,0.45191095478614823,0.02953968170852274,0.46818168564171275,0.05144062639043785,12,multiscale,scale-multiscale__bank-off__continuation-preserved
off,preserved,ETTh2,0.4079107871244964,0.03595325428703711,0.3864436897896377,0.049126936486908294,12,multiscale,scale-multiscale__bank-off__continuation-preserved
off,preserved,ETTm1,0.4171651208784793,0.03207460033435066,0.40992360869294503,0.053517451904402026,12,multiscale,scale-multiscale__bank-off__continuation-preserved
off,preserved,ETTm2,0.3309118232735421,0.054695218273504716,0.28767229812561884,0.09082068911635452,12,multiscale,scale-multiscale__bank-off__continuation-preserved
off,preserved,Electricity,0.28580547986744165,0.022357600991020046,0.1957786216779598,0.026937857102353333,12,multiscale,scale-multiscale__bank-off__continuation-preserved
off,preserved,Traffic,0.31898117913805507,0.009319642776094272,0.4778703520851644,0.02160725794240377,12,multiscale,scale-multiscale__bank-off__continuation-preserved
off,preserved,Weather,0.27994024876415863,0.05170236423984382,0.2523565879600768,0.0705454323220124,12,multiscale,scale-multiscale__bank-off__continuation-preserved
on,early,ETTh1,0.44683233313697174,0.026668385624142258,0.4606042226923793,0.040613807973700684,12,multiscale,scale-multiscale__bank-on__continuation-early
on,early,ETTh2,0.4042885952184064,0.04032280610634412,0.38156758957431963,0.054887210102931926,12,multiscale,scale-multiscale__bank-on__continuation-early
on,early,ETTm1,0.41677741358698034,0.03797515349827854,0.4100646950114845,0.0618965501873483,12,multiscale,scale-multiscale__bank-on__continuation-early
on,early,ETTm2,0.32884429768209317,0.05673136902800606,0.2854617067971071,0.09224415293670425,12,multiscale,scale-multiscale__bank-on__continuation-early
on,early,Electricity,0.2822368285819972,0.025044968459545507,0.19297814527203902,0.028448354892475478,12,multiscale,scale-multiscale__bank-on__continuation-early
on,early,Traffic,0.31406896693842107,0.009523096882551405,0.47222729615560227,0.021527412452132584,12,multiscale,scale-multiscale__bank-on__continuation-early
on,early,Weather,0.2809631379700939,0.05112548184579534,0.2534917683064281,0.07041301952830238,12,multiscale,scale-multiscale__bank-on__continuation-early
on,preserved,ETTh1,0.4470164746048874,0.027062193248913624,0.4609035881714986,0.04130594149875021,12,multiscale,scale-multiscale__bank-on__continuation-preserved
on,preserved,ETTh2,0.4041529952511267,0.04004443472483881,0.38126656252488483,0.05428347890283043,12,multiscale,scale-multiscale__bank-on__continuation-preserved
on,preserved,ETTm1,0.41708827831861534,0.03880114938219546,0.4117754751144251,0.06472468249660757,12,multiscale,scale-multiscale__bank-on__continuation-preserved
on,preserved,ETTm2,0.3279189649148773,0.0570783718445064,0.2844939110599468,0.09248314319582847,12,multiscale,scale-multiscale__bank-on__continuation-preserved
on,preserved,Electricity,0.2758912819461659,0.022903120624847152,0.18402175779705754,0.026045910475063463,12,multiscale,scale-multiscale__bank-on__continuation-preserved
on,preserved,Traffic,0.3024234317586865,0.009478792196997652,0.4595890266717415,0.022489935432119277,12,multiscale,scale-multiscale__bank-on__continuation-preserved
on,preserved,Weather,0.27929194797271706,0.05244403638493009,0.2512396577436952,0.07169916483227577,12,multiscale,scale-multiscale__bank-on__continuation-preserved
off,early,ETTh1,0.44618924830872825,0.025230941533969684,0.45962135691647793,0.038211894371645225,12,single,scale-single__bank-off__continuation-early
off,early,ETTh2,0.4021905918672595,0.03989159230094304,0.3784580052326469,0.05283286834396116,12,single,scale-single__bank-off__continuation-early
off,early,ETTm1,0.41395201946508003,0.030212423714430482,0.40556286537638714,0.051217847625182784,12,single,scale-single__bank-off__continuation-early
off,early,ETTm2,0.33320403339694166,0.05334961365545216,0.29010349384564255,0.08924771494808473,12,single,scale-single__bank-off__continuation-early
off,early,Electricity,0.28820154423018685,0.02148108475196627,0.19906570433664098,0.02493846672508533,12,single,scale-single__bank-off__continuation-early
off,early,Traffic,0.3190321711240713,0.007998017662307719,0.4799558082256435,0.020266775036173076,12,single,scale-single__bank-off__continuation-early
off,early,Weather,0.27908216082659093,0.05110676052598091,0.250910233346481,0.06963722220295905,12,single,scale-single__bank-off__continuation-early
off,preserved,ETTh1,0.445103317627533,0.025698667327845537,0.45867187903277556,0.038427930952044734,12,single,scale-single__bank-off__continuation-preserved
off,preserved,ETTh2,0.40285668028234967,0.040626891024600556,0.3797592620104126,0.0540196262048544,12,single,scale-single__bank-off__continuation-preserved
off,preserved,ETTm1,0.4131906092647837,0.03160026217576612,0.40545189258265846,0.05231406509255971,12,single,scale-single__bank-off__continuation-preserved
off,preserved,ETTm2,0.33362948233251916,0.05455722737091582,0.2913008651507558,0.09074239235048526,12,single,scale-single__bank-off__continuation-preserved
off,preserved,Electricity,0.2884104713102451,0.02187101386058712,0.199336699699287,0.02545078998098643,12,single,scale-single__bank-off__continuation-preserved
off,preserved,Traffic,0.3190321711240713,0.007998017662307719,0.4799558082256435,0.020266775036173076,12,single,scale-single__bank-off__continuation-preserved
off,preserved,Weather,0.278787715500121,0.051480696186379786,0.2504944928039742,0.0701380577550692,12,single,scale-single__bank-off__continuation-preserved
on,early,ETTh1,0.4416351520385493,0.02996130042282118,0.4563698072994449,0.04251418134932932,12,single,scale-single__bank-on__continuation-early
on,early,ETTh2,0.4015692749865918,0.0411125643895491,0.3803978753638248,0.05618852733703492,12,single,scale-single__bank-on__continuation-early
on,early,ETTm1,0.41530168831951,0.0346195136298215,0.40886419009735303,0.05594890032037223,12,single,scale-single__bank-on__continuation-early
on,early,ETTm2,0.3274736088644801,0.055515983019497665,0.28434403044443074,0.09035309299555923,12,single,scale-single__bank-on__continuation-early
