clustered_ci95_high,clustered_ci95_low,contrast_plus_minus,dataset,effect,interpretation,metric,paired_dataset_horizon_seed_cells
0.0036330904068229536,-0.0027407557875229202,0.00047717747495984816,ALL,scale,negative contrast favors the +1 level(s),mse,84
0.006920331100963495,0.006920331100963495,0.006920331100963495,ETTh1,scale,negative contrast favors the +1 level(s),mse,12
0.004177128426942733,0.004177128426942733,0.004177128426942733,ETTh2,scale,negative contrast favors the +1 level(s),mse,12
0.0032360623395120774,0.0032360623395120774,0.0032360623395120774,ETTm1,scale,negative contrast favors the +1 level(s),mse,12
-0.0009895173089993874,-0.0009895173089993874,-0.0009895173089993874,ETTm2,scale,negative contrast favors the +1 level(s),mse,12
0.0004708587699334005,0.0004708587699334005,0.0004708587699334005,Weather,scale,negative contrast favors the +1 level(s),mse,12
-0.004261644651671083,-0.004261644651671083,-0.004261644651671083,Electricity,scale,negative contrast favors the +1 level(s),mse,12
-0.006212976351962299,-0.006212976351962299,-0.006212976351962299,Traffic,scale,negative contrast favors the +1 level(s),mse,12
-0.0005991657845048221,-0.005780733640957464,-0.0032602463244468024,ALL,bank,negative contrast favors the +1 level(s),mse,84
-0.005313043643651352,-0.005313043643651352,-0.005313043643651352,ETTh1,bank,negative contrast favors the +1 level(s),mse,12
-0.0018686859988701922,-0.0018686859988701922,-0.0018686859988701922,ETTh2,bank,negative contrast favors the +1 level(s),mse,12
0.0021766437439199745,0.0021766437439199745,0.0021766437439199745,ETTm1,bank,negative contrast favors the +1 level(s),mse,12
-0.004734853260672873,-0.004734853260672873,-0.004734853260672873,ETTm2,bank,negative contrast favors the +1 level(s),mse,12
0.0011924911799007394,0.0011924911799007394,0.0011924911799007394,Weather,bank,negative contrast favors the +1 level(s),mse,12
-0.00643960583174459,-0.00643960583174459,-0.00643960583174459,Electricity,bank,negative contrast favors the +1 level(s),mse,12
-0.007834670460009324,-0.007834670460009324,-0.007834670460009324,Traffic,bank,negative contrast favors the +1 level(s),mse,12
-1.621383745385688e-05,-0.0017850800520273218,-0.0008212217745628489,ALL,continuation,negative contrast favors the +1 level(s),mse,84
-0.00037327630231922285,-0.00037327630231922285,-0.00037327630231922285,ETTh1,continuation,negative contrast favors the +1 level(s),mse,12
0.0002500574320827356,0.0002500574320827356,0.0002500574320827356,ETTh2,continuation,negative contrast favors the +1 level(s),mse,12
0.000399951827302959,0.000399951827302959,0.000399951827302959,ETTm1,continuation,negative contrast favors the +1 level(s),mse,12
-0.00015114024325443438,-0.00015114024325443438,-0.00015114024325443438,ETTm2,continuation,negative contrast favors the +1 level(s),mse,12
-0.0006669627763099418,-0.0006669627763099418,-0.0006669627763099418,Weather,continuation,negative contrast favors the +1 level(s),mse,12
-0.0020476149884768335,-0.0020476149884768335,-0.0020476149884768335,Electricity,continuation,negative contrast favors the +1 level(s),mse,12
-0.003159567370965203,-0.003159567370965203,-0.003159567370965203,Traffic,continuation,negative contrast favors the +1 level(s),mse,12
