dataset,mae_mean,mae_std,model,mse_mean,mse_std,runs
ETTh1,0.4706117419236989,0.06863381316203573,LatentFlow,0.5109547332984595,0.13157180245634534,4
ETTh2,0.4026434441444895,0.04429558919944969,LatentFlow,0.3792299190108565,0.06427045061323697,4
ETTm1,0.4196801563234106,0.038158608020999026,LatentFlow,0.42792423863055573,0.058315383759409645,4
ETTm2,0.34070901339358456,0.06448037356218436,LatentFlow,0.3063532537830796,0.10732119778710462,4
Electricity,0.2660574800414446,0.029050691164887364,LatentFlow,0.1714767914822281,0.030014970589214342,4
Traffic,0.2821586601808253,0.011030009326832851,LatentFlow,0.43369953635108466,0.02758256829273345,4
Weather,0.27630254936761095,0.0618271501323076,LatentFlow,0.25012644888417523,0.08633626017305511,4
ETTh1,0.44587793082787597,0.03316016737894606,TimePro,0.45502722973729054,0.048075790120530044,4
ETTh2,0.4063311736764348,0.04564897299425544,TimePro,0.38397800687094286,0.0648949919819929,4
ETTm1,0.4109527333138501,0.03840390012319913,TimePro,0.4087225563335948,0.06686007585020491,4
ETTm2,0.3267093088085905,0.059492095784646704,TimePro,0.28307022940091214,0.09689207717640927,4
Electricity,0.26178646504630393,0.02432139021657019,TimePro,0.16832747849706797,0.025435312535954373,4
Traffic,0.2790028347936751,0.013089557518232585,TimePro,0.4265457236134266,0.025965899895185086,4
Weather,0.2797333419796906,0.061293242478510604,TimePro,0.2534989481965651,0.08394961069429367,4
