checkpoint,config_hash,cross_process_exchange,dataset,experiment,horizon,model,result_path,result_sha256,seed,variant
/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTh1/h192.pt,6db6211b3774c5ce,False,ETTh1,central,192,LatentFlow,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTh1/h192.json,02a6375a519c2ff27a7dc7b57b6ef61f75cf2c718d411c3370654b53798010fc,42,early_fusion
/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTh1/h336.pt,0d8ede807aedc0fa,False,ETTh1,central,336,LatentFlow,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTh1/h336.json,c25cae573f7d836e5f22d099614d75a16f713e701eaff61a0d9bfbd802ca6622,42,early_fusion
/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTh1/h720.pt,3d10c535e64ac8af,False,ETTh1,central,720,LatentFlow,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTh1/h720.json,d4be38c08c197fd905a840849e074455ef98728aac2f6915976ba711654fa71b,42,early_fusion
/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTh1/h96.pt,3d875743e9f2eb6c,False,ETTh1,central,96,LatentFlow,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTh1/h96.json,4be75b5456a0225da97ca145d5f0349ddee3c8f463f6f743007cb9115f0a7b2d,42,early_fusion
/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTh2/h192.pt,0abb22a2ee9a2077,False,ETTh2,central,192,LatentFlow,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTh2/h192.json,088518364f18be0250cf805ef7a0715f4df6ee40832ba3dafb572ba42c67490a,42,early_fusion
/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTh2/h336.pt,3aa94d6a73e6920e,False,ETTh2,central,336,LatentFlow,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTh2/h336.json,ef0ad6eaf104b76a719b601c45a20ed8288c62ec536a0d4de6f6a57d85406e07,42,early_fusion
/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTh2/h720.pt,1911a616f0f9262c,False,ETTh2,central,720,LatentFlow,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTh2/h720.json,6263834064da11c220b97e69aff2d630da6800098da0689473e9823c01659359,42,early_fusion
/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTh2/h96.pt,7fd366135d2a43cb,False,ETTh2,central,96,LatentFlow,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTh2/h96.json,7d510d477ccbfdb913c5d54f5cc66956e425c7bf3c702ff7f313bb2f23255ab8,42,early_fusion
/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTm1/h192.pt,2bf953f4dd209fc0,False,ETTm1,central,192,LatentFlow,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTm1/h192.json,689180e13c5b5e01c41db9b9bda3f1bcd005f0c84b251bf37c9aff232b845f08,42,early_fusion
/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTm1/h336.pt,80478875f80dd7ec,False,ETTm1,central,336,LatentFlow,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTm1/h336.json,f4df8e9cf62552ca93349f0084f4c5edf627bc4cadd73ffece98ec87a81ad7e9,42,early_fusion
/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTm1/h720.pt,203c1432a07b9aff,False,ETTm1,central,720,LatentFlow,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTm1/h720.json,c08e87318149312734060f8dbeee1d7f19cc6489e588b3dc6d9b40049ca88dfc,42,early_fusion
/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTm1/h96.pt,6dda313d00b7a65c,False,ETTm1,central,96,LatentFlow,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTm1/h96.json,434cf1158fd484d6f9989e412277bb88f8cd63b03ea786919076762e0e65cbd9,42,early_fusion
/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTm2/h192.pt,878f636c4034e033,False,ETTm2,central,192,LatentFlow,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTm2/h192.json,a86005992576ee15cbd10b5edff03e41ed610e8e53007c5057fbf22adc325f8f,42,early_fusion
/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTm2/h336.pt,829034b0d73c9f33,False,ETTm2,central,336,LatentFlow,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTm2/h336.json,576a2c08876c36255cd7037eb36dfa8b65d7f24a65e8280a2f9e14e1d2f9d432,42,early_fusion
/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTm2/h720.pt,4e6422ff64a10024,False,ETTm2,central,720,LatentFlow,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTm2/h720.json,f4bcb393b9d6ced7a6ff86bd6097c1e99add9ca17440c38d77fc4262b0a6e340,42,early_fusion
/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTm2/h96.pt,0aaef4c089d5a272,False,ETTm2,central,96,LatentFlow,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTm2/h96.json,0e93bcdf9a154fcbdad83bf038144bc94c5d867164a75e4dd898724cabf447f3,42,early_fusion
/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/Electricity/h192.pt,de5c3e6599f502bb,False,Electricity,central,192,LatentFlow,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/Electricity/h192.json,aae1490b3a5a47e6b5a42bc97206dca99b8bf5ccd480ed096875cf5d7d164780,42,early_fusion
/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/Electricity/h336.pt,a221ffca06797e79,False,Electricity,central,336,LatentFlow,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/Electricity/h336.json,c29ab4e6f0f6d135539ea804d60c1894114b65a09de0e20c44095028fd4ad16a,42,early_fusion
/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/Electricity/h720.pt,2746d6000bc8214c,False,Electricity,central,720,LatentFlow,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/Electricity/h720.json,f3f39abaed30b8c82274244fceae1cbede68a0b7f9f1cf7d371d942bb37708c0,42,early_fusion
/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/Electricity/h96.pt,ecbad6e965f95018,False,Electricity,central,96,LatentFlow,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/Electricity/h96.json,434e0bc4afb7eeb5cf636276795065f8824216292ae21aac9d4986e9e925cd30,42,early_fusion
/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/Traffic/h192.pt,c7d92eebe2e9dd8c,False,Traffic,central,192,LatentFlow,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/Traffic/h192.json,fe49fd5bfba151511bd75229adebe20d2b79d24b9fcc24679a5f1232a834fdd8,42,early_fusion
/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/Traffic/h336.pt,9585be32996524ab,False,Traffic,central,336,LatentFlow,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/Traffic/h336.json,6c03b39b7ce1650fd56825363ce8d0b53a655a95c31652847ee33fbaf9635a31,42,early_fusion
/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/Traffic/h720.pt,2c0a9b94a210cb32,False,Traffic,central,720,LatentFlow,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/Traffic/h720.json,65d3b450b0ef8857ecb50c7b27b93153c048263fcef3e4d6fc16eebdc4a6f28a,42,early_fusion
/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/Traffic/h96.pt,d76658e88fd41804,False,Traffic,central,96,LatentFlow,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/Traffic/h96.json,7271e13cf6eb6e60147a3218cd67620acf7e6638fffcc03c802521c0c0b21daa,42,early_fusion
/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/Weather/h192.pt,b5576c37adf65d46,False,Weather,central,192,LatentFlow,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/Weather/h192.json,4986641fe9f06ee9ff2bb307822f6e4f49571a4f6e7c6de9c649a9f49bcbe3aa,42,early_fusion
/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/Weather/h336.pt,598633a7cdc66300,False,Weather,central,336,LatentFlow,physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/Weather/h336.json,00360b65d26ad50d8a8b2b688e5064168e48d3ade5dd26c95edbf8b9734cc3f8,42,early_fusion
