dataset,horizon,mae_mean,mae_std,model,mse_mean,mse_std,runs
ETTh1,192,0.4384213237866822,0.004721198085468362,LatentFlow,0.45167314956055166,0.007264661238888605,5
ETTh1,336,0.45695542584013893,0.0031429291149319746,LatentFlow,0.48893428259980665,0.007010167470538615,5
ETTh1,720,0.4812601830166482,0.0011641093804995073,LatentFlow,0.5000977259408034,0.005309916351231013,5
ETTh1,96,0.4140382771974263,0.0043141771466926136,LatentFlow,0.4036839167016117,0.00479366696772546,5
ETTh2,192,0.39679707735885095,0.0043089405824382546,LatentFlow,0.3812493967037596,0.007316288707563001,5
ETTh2,336,0.42953086008239866,0.0046703849644618815,LatentFlow,0.41880761376797154,0.007467256568814657,5
ETTh2,720,0.4455885541262795,0.005003077162340971,LatentFlow,0.4267151760834512,0.009990251056637285,5
ETTh2,96,0.34682111067151045,0.0035772750134781418,LatentFlow,0.2987783630340438,0.003943855103913707,5
ETTm1,192,0.39927663215645,0.0033928575775468103,LatentFlow,0.38593679615685517,0.007885061330672422,5
ETTm1,336,0.4255779987312341,0.008610716138545063,LatentFlow,0.4295736487782051,0.01804332612808959,5
ETTm1,720,0.46904994815563256,0.007985665224170367,LatentFlow,0.498565494335542,0.012856406079257162,5
ETTm1,96,0.3743297305053953,0.002891942302890422,LatentFlow,0.33735155654582083,0.0052454316291029625,5
ETTm2,192,0.3014370016574697,0.001300275743787532,LatentFlow,0.24121727242702745,0.001404432940918319,5
ETTm2,336,0.3456668267867164,0.0009728928142447407,LatentFlow,0.3077813057398058,0.0014015774083738126,5
ETTm2,720,0.40597213935610144,0.0015736371139281847,LatentFlow,0.41450561168508415,0.0020525411101484383,5
ETTm2,96,0.2589720556365086,0.000981307576533206,LatentFlow,0.17492455641200075,0.0016682273434948745,5
Electricity,192,0.26283678846991687,0.00122997411485615,LatentFlow,0.16989630363034774,0.0013702609573599518,5
Electricity,336,0.27989380911027956,0.0016620604614335935,LatentFlow,0.18707974227717972,0.001790456319104597,5
Electricity,720,0.3100938481841851,0.002475928932517962,LatentFlow,0.22367875986046698,0.0038867198009672156,5
Electricity,96,0.2513634516926837,0.0007508516364066935,LatentFlow,0.15652926322845415,0.001020570872920287,5
Traffic,192,0.2973730974340877,0.0020956258910325306,LatentFlow,0.45034298683289525,0.002611000583558385,5
Traffic,336,0.3024237437642837,0.0026732245779386827,LatentFlow,0.4633265011568848,0.003825722948062533,5
Traffic,720,0.3165800315656986,0.0015381807884792121,LatentFlow,0.49092933309575193,0.003218904297074807,5
Traffic,96,0.29415919003401847,0.0016521770360148947,LatentFlow,0.4350099819851704,0.0036657662166713644,5
Weather,192,0.2567220405055182,0.0023772541517597706,LatentFlow,0.21507278107197636,0.002319648396915359,5
Weather,336,0.2991246541337756,0.001190953069484569,LatentFlow,0.27409283382458904,0.0018264157599456722,5
Weather,720,0.34885674605110717,0.000674751491610888,LatentFlow,0.3507794092026078,0.0002784415858152272,5
Weather,96,0.21301290014273153,0.001373768660356692,LatentFlow,0.16639330807220729,0.001483329277495391,5
ETTh2,192,0.3971289472085631,0.0008800543348322689,TimeMixer,0.38127378867615697,0.001246804867417407,5
ETTh2,336,0.4333178423801526,0.0013173442469596136,TimeMixer,0.4235496110828064,0.0024508716908790843,5
ETTh2,720,0.44502393314440053,0.0018940685518714915,TimeMixer,0.4283815962567278,0.003086801800278823,5
ETTh2,96,0.3445419478630463,0.0011287065942342535,TimeMixer,0.29435162884318505,0.0013130597054464613,5
ETTm2,192,0.31326093704090996,0.0008648502405787706,TimeMixer,0.253504806526155,0.00046423456161593816,5
ETTm2,336,0.352616626050583,0.0009845683298976516,TimeMixer,0.31552837533339956,0.0010038960498733424,5
ETTm2,720,0.4075635792757675,0.0007649095863571758,TimeMixer,0.4164559168734767,0.0012757304197984363,5
ETTm2,96,0.272458837111468,0.0010339502519334648,TimeMixer,0.18817487693650284,0.000931824403368364,5
Electricity,192,0.2755418508957189,0.0023630961377430525,VPNet,0.18244916948435524,0.0022128912907403006,5
Electricity,336,0.2927423958746106,0.0018416864346479538,VPNet,0.20132956480023104,0.0017333169331815964,5
Electricity,720,0.32880127967376005,0.003430105000122174,VPNet,0.24671320822699302,0.004977699442973891,5
Electricity,96,0.26314747811568745,0.002720579604676182,VPNet,0.168335436823997,0.002295552515410187,5
Traffic,192,0.3249004143671543,0.0060648894322510045,VPNet,0.48309689921447607,0.005652980725955992,5
Traffic,336,0.333643518992768,0.005635989607257477,VPNet,0.4977286794478054,0.0032537989824250385,5
Traffic,720,0.34768172504822525,0.005335881794997365,VPNet,0.5276713078129196,0.008374703177717529,5
Traffic,96,0.31718017846837016,0.003262857078196478,VPNet,0.4645962932447869,0.003326064041509449,5
Weather,192,0.25961314907882305,0.001738158985662621,VPNet,0.22018072096651417,0.0015585828242154528,5
Weather,336,0.3002327196097056,0.0016445090161818219,VPNet,0.27604667616318607,0.0022106431698884813,5
Weather,720,0.35037294177887357,0.0017873490490029032,VPNet,0.35348178483436515,0.0023375626217146585,5
Weather,96,0.21837283888511494,0.0013343551229439256,VPNet,0.1724156467231628,0.0009448395977538773,5
ETTh1,192,0.43979663272980546,0.0006025686873715357,iTransformer,0.4466005866423567,0.0011009972638567798,5
ETTh1,336,0.46068248925537186,0.0005970938761182589,iTransformer,0.4865772335994197,0.0013855099201411129,5
ETTh1,720,0.48858523363588746,0.00341391112583907,iTransformer,0.4969171469894017,0.006464345498701358,5
ETTh1,96,0.4104020955944362,0.0011380294644676443,iTransformer,0.39478729043891925,0.0015653470812647605,5
ETTm1,192,0.3937868457579314,0.0005969640237384879,xCPD,0.3863896484792572,0.000830273885322499,5
ETTm1,336,0.41982633713611356,0.0017957718040992796,xCPD,0.41974420287384706,0.0013300817044664607,5
ETTm1,720,0.4604819016987475,0.005230128577258207,xCPD,0.4834895816075725,0.005031090248987893,5
ETTm1,96,0.3767013245320536,0.0008981876904270811,xCPD,0.3535965977019166,0.0013181600686763086,5
