dataset,mae_mean,mae_std,mse_mean,mse_std,runs,variant
ETTh1,0.4473479524077498,0.025218386778502657,0.45903920839568857,0.037539300593801186,20,early_fusion
ETTh2,0.4074311831470543,0.04286934141195484,0.3862409824762104,0.05862749757346442,20,early_fusion
ETTm1,0.4242988445538101,0.05027356383369746,0.427074885375393,0.09359331727235293,20,early_fusion
ETTm2,0.3280878870800977,0.055660240813217104,0.2845669843206978,0.09041199199899329,20,early_fusion
Electricity,0.32725376580281185,0.042308923917434973,0.22648298703806705,0.04524583042216196,20,early_fusion
Traffic,0.35152693296087817,0.026298658944902374,0.5011284368225036,0.03376286031379764,20,early_fusion
Weather,0.27932221412685443,0.05119560971081971,0.251704287355164,0.07034097397010561,20,early_fusion
ETTh1,0.44766880246022395,0.025509844872877326,0.46109726870069334,0.03907993084868155,20,final_no_exchange
ETTh2,0.4046844005597598,0.03894473894470161,0.3813876373973065,0.05246269201847664,20,final_no_exchange
ETTm1,0.417058577387178,0.03643258800748749,0.41285687395410575,0.06180527942427309,20,final_no_exchange
ETTm2,0.32801200585919904,0.055883059104475274,0.2846071865659795,0.09080393983636417,20,final_no_exchange
Electricity,0.2760469743642663,0.02274890676472149,0.18429601724911213,0.025925394609401433,20,final_no_exchange
Traffic,0.3026340156995221,0.008993305656155836,0.4599022007676756,0.021285107433848826,20,final_no_exchange
Weather,0.27942908520828313,0.051662785222355505,0.25158458304284514,0.07060955539805672,20,final_no_exchange
ETTh1,0.4517224895774172,0.025788621890621005,0.4665668024162214,0.04540215119662224,20,no_linear_bank
ETTh2,0.4080770117431025,0.035803864889132335,0.38590532171081987,0.048188057344269536,20,no_linear_bank
ETTm1,0.4169641669576222,0.03254847015039931,0.41061758069733695,0.05499582350169414,20,no_linear_bank
ETTm2,0.3303064396770761,0.05386210394451787,0.2868227670611989,0.08942739663969598,20,no_linear_bank
Electricity,0.2796276177908578,0.021738144460675204,0.18654110869063958,0.02501644234811607,20,no_linear_bank
Traffic,0.3048651446526175,0.008204787320271679,0.46204156743687064,0.021144870911394505,20,no_linear_bank
Weather,0.27818199466440663,0.0510365951385485,0.24992930526343088,0.06978602765291948,20,no_linear_bank
ETTh1,0.44292101672700557,0.028443741810483567,0.457572025497788,0.04068971841982552,20,no_multiscale
ETTh2,0.40200123538108984,0.041257385992382725,0.38024415481652835,0.05554761690869456,20,no_multiscale
ETTm1,0.41652603040600705,0.032175927334302745,0.41237669346549205,0.05620713879656996,20,no_multiscale
ETTm2,0.32632465788959314,0.05425142295011687,0.28291683833215026,0.08859278415623646,20,no_multiscale
Electricity,0.2769833365242483,0.02267499781820148,0.18555732111631543,0.025241401381567306,20,no_multiscale
Traffic,0.30369242769141247,0.00846431342923984,0.4622958566355508,0.02026312608677246,20,no_multiscale
Weather,0.27812603560129495,0.051658071664138196,0.2501732615206459,0.07034414909220761,20,no_multiscale
ETTh1,0.44767671774186785,0.0251850554147578,0.45989994193915995,0.03777730369461732,20,x_to_z
ETTh2,0.40902373411345383,0.044474532606574226,0.38843606062295255,0.06071204813634668,20,x_to_z
ETTm1,0.42464264787307265,0.04588856914420746,0.4261591430064121,0.08225711023294316,20,x_to_z
ETTm2,0.32825084208607497,0.05567137888807364,0.2847678354475172,0.09060812582676131,20,x_to_z
Electricity,0.31212104514672573,0.021296603906174275,0.21329200534154696,0.02432477255500301,20,x_to_z
Traffic,0.37454630443700665,0.01855404467555481,0.5192891048424678,0.027477646330822048,20,x_to_z
Weather,0.2800437262416927,0.050963064295620614,0.2525853070452859,0.07000804900052235,20,x_to_z
