bank,batch_size,best_epoch,best_stage,best_validation_mse,candidate,checkpoint,config_hash,continuation,continuation_unfreeze_blocks,cross_process_exchange,dataset,effective_batch_size,elapsed_seconds,enhancement_protocol,experiment,extension_epochs,final_candidate,gradient_clip,head_learning_rate,horizon,inducing_points,inference_ms_batch,inference_reference_only,latent_dim,learning_rate,mae,max_train_windows,max_validation_windows,model,mse,nll_weight,num_windows,parameters,patch_lens,pre_repair_mae,pre_repair_mse,primal_dual,reference_epochs,repair_mae_delta,repair_mse_delta,representation_weight,result_path,result_sha256,reused_source,rmse,scale,seed,selected_config,selected_patch_lens,selection_protocol,selector_repair_evaluation_only,selector_state_restored,seq_len,structural_only,trainable_parameters,training_ms_optimizer_step,validation_selected_stage,variant,weight_decay,wide_batch_size
on,16,2,extension,1.01528117309014,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTh1/h192.pt,fbcb9569338b7d7f,early,2,False,ETTh1,16,139.06562549993396,latentflow-central-all28-five-seed-no-exchange-v2-selector-safe,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,192,,26.83365097392105,False,,0.0007,0.43659133121090765,2048,1024,LatentFlow,0.44443473521383264,0.02,2689.0,1535526,,0.4359484592005332,0.4454155189162745,False,2,0.0006428720103744401,-0.0009807837024418675,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTh1/h192.json,71d126580215db610a4b80681b64ec750866d67347226d8ccea303dd025bdae7,,0.6666593847039376,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [16, 32, 48], 'representation_weight': 0.05}",16-32-48,,True,True,96,False,0,103.69468307253555,extension,early_fusion,0.0001,4
on,16,0,reference,1.2844313245241334,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTh1/h336.pt,33839b861a930e31,early,2,False,ETTh1,16,137.89211094379425,latentflow-central-all28-five-seed-no-exchange-v2-selector-safe,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,336,,8.573439032284401,True,,0.0007,0.45415585197978037,2048,1024,LatentFlow,0.4817180077371921,0.02,2545.0,1676686,,0.45415585197978037,0.4817180077371921,False,2,0.0,0.0,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTh1/h336.json,93d67c8ccd1779ea477122b4f100b1d9093793e90778938c22f0885d899ba67f,,0.6940590808693393,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [16, 32, 48], 'representation_weight': 0.05}",16-32-48,,True,True,96,False,0,102.8226685772097,reference,early_fusion,0.0001,4
on,16,1,extension,1.5587898814488972,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTh1/h720.pt,b1d266b2e43a58a0,early,2,False,ETTh1,16,135.75909433467314,latentflow-central-all28-five-seed-no-exchange-v2-selector-safe,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,720,,30.697830757230463,False,,0.0007,0.4753155116962481,2048,1024,LatentFlow,0.48018551187044595,0.02,2161.0,2055222,,0.4786009474572534,0.49215886750318655,False,2,-0.0032854357610053175,-0.011973355632740601,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTh1/h720.json,c7bb5dece84b54f250ed5cbb5506620617fb7890a061d39ccf2a654eacfd1f21,,0.6929541917547263,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [16, 32, 48], 'representation_weight': 0.05}",16-32-48,,True,True,96,False,0,101.43807456734066,extension,early_fusion,0.0001,4
on,16,0,reference,0.7638911305084115,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTh1/h96.pt,8ca4b8a09e8f4881,early,2,False,ETTh1,16,132.95482245704625,latentflow-central-all28-five-seed-no-exchange-v2-selector-safe,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,96,,8.019535581586679,True,,0.0007,0.4114095289177025,2048,1024,LatentFlow,0.4032240676423306,0.02,2785.0,1441682,,0.4114095289177025,0.4032240676423306,False,2,0.0,0.0,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTh1/h96.json,a74709bebba0d2fa59adeb72015517c5c9b72cce40bf2245122a3d2db45eeb4c,,0.6349992658596785,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [16, 32, 48], 'representation_weight': 0.05}",16-32-48,,True,True,96,False,0,98.9067408898336,reference,early_fusion,0.0001,4
on,16,0,reference,0.2718099478987001,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTh2/h192.pt,11a47eb78bde4113,early,2,False,ETTh2,16,124.3465985096991,latentflow-central-all28-five-seed-no-exchange-v2-selector-safe,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,192,,7.499587895002907,True,,0.0007,0.3902497946414888,2048,1024,LatentFlow,0.36935875294162884,0.02,2689.0,1505278,,0.3902497946414888,0.36935875294162884,False,2,0.0,0.0,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTh2/h192.json,124d12b8c6006a7467734c84d1e159ac8585919a65b15ecb7b093763e86f2b93,,0.6077489226165924,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [16, 32, 48], 'representation_weight': 0.001}",16-32-48,,True,True,96,False,0,92.66338037705282,reference,early_fusion,0.0001,4
on,16,0,reference,0.3575856243672014,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTh2/h336.pt,bf047e0667f8c3c5,early,2,False,ETTh2,16,137.98650584369898,latentflow-central-all28-five-seed-no-exchange-v2-selector-safe,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,336,,7.886197359030005,True,,0.0007,0.42654472275517485,2048,1024,LatentFlow,0.41643647069421075,0.02,2545.0,1646438,,0.42654472275517485,0.41643647069421075,False,2,0.0,0.0,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTh2/h336.json,a655c78b39ef368d3156116da10dcdf31fe0fdc6608ad0f892e7c18283212194,,0.6453188906999475,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [16, 32, 48], 'representation_weight': 0.001}",16-32-48,,True,True,96,False,0,102.95657257083803,reference,early_fusion,0.0001,4
on,16,0,reference,0.6150716898933289,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTh2/h720.pt,494925d821ff7072,early,2,False,ETTh2,16,138.48688999190927,latentflow-central-all28-five-seed-no-exchange-v2-selector-safe,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,720,,7.977762554925102,True,,0.0007,0.43879702215362193,2048,1024,LatentFlow,0.4136213828137338,0.02,2161.0,2024974,,0.43879702215362193,0.4136213828137338,False,2,0.0,0.0,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTh2/h720.json,00e9d12f5bed07f0903551beaa5b5756ec54d1408486324391c5c7f965bf2b24,,0.6431340317645566,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [16, 32, 48], 'representation_weight': 0.001}",16-32-48,,True,True,96,False,0,103.33062952377077,reference,early_fusion,0.0001,4
on,16,0,reference,0.21927327236958913,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTh2/h96.pt,3f31f0d8a8062537,early,2,False,ETTh2,16,133.7054725449998,latentflow-central-all28-five-seed-no-exchange-v2-selector-safe,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,96,,7.545407107799728,True,,0.0007,0.34268046750302417,2048,1024,LatentFlow,0.2934846773242975,0.02,2785.0,1411434,,0.34268046750302417,0.2934846773242975,False,2,0.0,0.0,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTh2/h96.json,a5fad190da4587792358d0b8fe6f4b2d5356920d35e1e8e0f27f111a1b14b44c,,0.5417422609731471,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [16, 32, 48], 'representation_weight': 0.001}",16-32-48,,True,True,96,False,0,99.66435648439074,reference,early_fusion,0.0001,4
on,16,1,extension,0.5081209504001197,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTm1/h192.pt,84f6af2e5414de37,early,2,False,ETTm1,16,146.7556451074779,latentflow-central-all28-five-seed-no-exchange-v2-selector-safe,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,192,,28.412991175704665,False,,0.0007,0.3974948110709881,2048,1024,LatentFlow,0.38126174485502706,0.02,11329.0,1493398,,0.399763873331066,0.38498163545956293,False,2,-0.002269062260077892,-0.0037198906045358693,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTm1/h192.json,4add32b55829ecc1532e45a03e489d12b5b92a6ec4964a4543b918dc0468b461,,0.6174639623937798,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [8, 24, 48], 'representation_weight': 0.01}",8-24-48,,True,True,96,False,0,105.81532658543438,extension,early_fusion,0.0001,4
on,16,4,extension,0.6516235282226485,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/checkpoints/early_fusion/seed42/ETTm1/h336.pt,8790f0f96541113c,early,2,False,ETTm1,16,145.3279213591013,latentflow-central-all28-five-seed-no-exchange-v2-selector-safe,central,10,latentflow_process_preserving_unfreeze2,5.0,0.001,336,,29.059027426543892,False,,0.0007,0.428001585542048,2048,1024,LatentFlow,0.43327778246258614,0.02,11185.0,1636816,,0.4212892901389582,0.4229558263398904,False,2,0.006712295403089763,0.010321956122695763,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/central/runs/early_fusion/seed42/ETTm1/h336.json,22ea46c9b832d6f5029fa41f50f88d3726a2846eb3c89c290ae6bc932f728541,,0.6582383933367805,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [8, 24, 48], 'representation_weight': 0.01}",8-24-48,,True,True,96,False,0,105.04933235461067,extension,early_fusion,0.0001,4
