dataset,horizon,mae_mean,mae_std,mse_mean,mse_std,runs,variant
ETTh1,192,0.43740388673353625,0.0021112326003966957,0.4489967047603474,0.002830655044521817,5,early_fusion
ETTh1,336,0.4572915113644438,0.0034345992134993835,0.48748976996111215,0.007403742622615566,5,early_fusion
ETTh1,720,0.4804379207118804,0.003378928152403664,0.49541684876387154,0.008921515215545756,5,early_fusion
ETTh1,96,0.41425849082113847,0.0029412367578363274,0.40425351009742305,0.002722037793201354,5,early_fusion
ETTh2,192,0.39681113994183403,0.004306537708271565,0.3815106290221335,0.007342492169935218,5,early_fusion
ETTh2,336,0.43014009677014187,0.00575198788324256,0.4203762413720208,0.009203635236052629,5,early_fusion
ETTh2,720,0.45619005530644213,0.016789150408905426,0.44460075367602336,0.02838171309283196,5,early_fusion
ETTh2,96,0.34658344056979906,0.003241222118916579,0.2984763058346643,0.003516230876355313,5,early_fusion
ETTm1,192,0.3997144243498917,0.002670066116072304,0.3859704798019089,0.0063318985841214325,5,early_fusion
ETTm1,336,0.4273072194319223,0.007737137985942403,0.43142748647636936,0.01735187395974542,5,early_fusion
ETTm1,720,0.4951442329082855,0.04305073605799378,0.5529569731908842,0.096771476454327,5,early_fusion
ETTm1,96,0.37502950152514114,0.0031564700184416174,0.3379446020324094,0.005379394632232508,5,early_fusion
ETTm2,192,0.30213073396049983,0.0014808906086680486,0.24192671328401594,0.0015759949281475374,5,early_fusion
ETTm2,336,0.3455582435432998,0.00037190472293017037,0.3077518306663723,0.0005400692492588674,5,early_fusion
ETTm2,720,0.40564945360700033,0.001958093610981612,0.4136766816897629,0.0032270749115432804,5,early_fusion
ETTm2,96,0.2590131172095908,0.0014129648360235994,0.17491271164263986,0.0018683837217657643,5,early_fusion
Electricity,192,0.3108106797277498,0.035985282187657765,0.2063625817191994,0.028381436286704597,5,early_fusion
Electricity,336,0.3561350142054714,0.059430139601508114,0.25477016032531463,0.06553406159702786,5,early_fusion
Electricity,720,0.34759018097695477,0.011091207626185092,0.25594329043294095,0.00913941134564726,5,early_fusion
Electricity,96,0.2944791883010715,0.017677999428824885,0.18885591567481322,0.01339796598829568,5,early_fusion
Traffic,192,0.3451776982604557,0.01659365394842517,0.49074036682442673,0.01352112197197341,5,early_fusion
Traffic,336,0.3462100890298914,0.019131952209468558,0.500024737656506,0.016793706695827415,5,early_fusion
Traffic,720,0.3839975146377489,0.019179793871861285,0.5462777659777972,0.026399372827614537,5,early_fusion
Traffic,96,0.3307224299154164,0.018200617191890332,0.46747087683128463,0.012343642764923501,5,early_fusion
