bank,continuation,dataset,mae_mean,mae_std,mse_mean,mse_std,runs,scale,variant
off,early,ETTh1,0.4525876119872738,0.028981432842196973,0.46820558934374373,0.051096112380539946,12,multiscale,scale-multiscale__bank-off__continuation-early
off,early,ETTh2,0.4112753449735962,0.037992847100227815,0.39185776131653133,0.05304878412569714,12,multiscale,scale-multiscale__bank-off__continuation-early
off,early,ETTm1,0.41853352764360374,0.032509741151811454,0.411498905644793,0.05368666403623314,12,multiscale,scale-multiscale__bank-off__continuation-early
off,early,ETTm2,0.33032428473167835,0.05520766292251922,0.28702669010485315,0.09155411056732224,12,multiscale,scale-multiscale__bank-off__continuation-early
off,early,Electricity,0.3270502941547352,0.03603840079642348,0.2258368380870622,0.03876379982799006,12,multiscale,scale-multiscale__bank-off__continuation-early
off,early,Traffic,0.359648817960911,0.03275278269664906,0.5105982551131073,0.04876250841926757,12,multiscale,scale-multiscale__bank-off__continuation-early
off,early,Weather,0.2782978488625861,0.05202158377255666,0.2502672735646468,0.07100467174070581,12,multiscale,scale-multiscale__bank-off__continuation-early
off,preserved,ETTh1,0.4541361220138334,0.02943180841465229,0.47329027349507763,0.052426875116349324,12,multiscale,scale-multiscale__bank-off__continuation-preserved
off,preserved,ETTh2,0.4080826429426177,0.035864619147270856,0.38667754964007345,0.04906393218331576,12,multiscale,scale-multiscale__bank-off__continuation-preserved
off,preserved,ETTm1,0.41658372861965964,0.03293654970034885,0.4096305820984634,0.055403806470961395,12,multiscale,scale-multiscale__bank-off__continuation-preserved
off,preserved,ETTm2,0.33034653350263665,0.055084113127125856,0.28692691977381757,0.09123056758602698,12,multiscale,scale-multiscale__bank-off__continuation-preserved
off,preserved,Electricity,0.2797549325451059,0.02275133905089611,0.18688729971074683,0.02631223155962039,12,multiscale,scale-multiscale__bank-off__continuation-preserved
off,preserved,Traffic,0.3048192951039234,0.00883840793257024,0.46219386725640305,0.021988744114521112,12,multiscale,scale-multiscale__bank-off__continuation-preserved
off,preserved,Weather,0.27813181312645113,0.052060178020253166,0.24980959692775273,0.07075595709241882,12,multiscale,scale-multiscale__bank-off__continuation-preserved
on,early,ETTh1,0.4465848853929469,0.02601184615566257,0.45855373785676984,0.03856703965453039,12,multiscale,scale-multiscale__bank-on__continuation-early
on,early,ETTh2,0.4056508967427683,0.04237414104143831,0.3838035253997702,0.057966324878554715,12,multiscale,scale-multiscale__bank-on__continuation-early
on,early,ETTm1,0.41990082981386584,0.04190065607597144,0.4157670274640963,0.07010275457115128,12,multiscale,scale-multiscale__bank-on__continuation-early
on,early,ETTm2,0.32811473623188353,0.05718805750039971,0.2846655783822252,0.09270892929773661,12,multiscale,scale-multiscale__bank-on__continuation-early
on,early,Electricity,0.31650352825454614,0.0289793126792,0.2159580461925792,0.030596927808690232,12,multiscale,scale-multiscale__bank-on__continuation-early
on,early,Traffic,0.34695339311589707,0.029350215309517876,0.4977349016686048,0.040014147804136396,12,multiscale,scale-multiscale__bank-on__continuation-early
on,early,Weather,0.27908569265787275,0.05208060482635581,0.2513540361256319,0.07145925043592241,12,multiscale,scale-multiscale__bank-on__continuation-early
on,preserved,ETTh1,0.4470164746048874,0.027062193248913624,0.4609035881714986,0.04130594149875021,12,multiscale,scale-multiscale__bank-on__continuation-preserved
on,preserved,ETTh2,0.4041529952511267,0.04004443472483881,0.38126656252488483,0.05428347890283043,12,multiscale,scale-multiscale__bank-on__continuation-preserved
on,preserved,ETTm1,0.41708827831861534,0.03880114938219546,0.4117754751144251,0.06472468249660757,12,multiscale,scale-multiscale__bank-on__continuation-preserved
