bank,batch_size,best_epoch,best_stage,best_validation_mse,candidate,checkpoint,config_hash,continuation,continuation_unfreeze_blocks,cross_process_exchange,dataset,effective_batch_size,elapsed_seconds,enhancement_protocol,experiment,extension_epochs,final_candidate,gradient_clip,head_learning_rate,horizon,inducing_points,inference_ms_batch,inference_reference_only,latent_dim,learning_rate,mae,max_train_windows,max_validation_windows,model,mse,nll_weight,num_windows,parameters,patch_lens,pre_repair_mae,pre_repair_mse,primal_dual,reference_epochs,repair_mae_delta,repair_mse_delta,representation_weight,result_path,result_sha256,reused_source,rmse,scale,seed,selected_config,selected_patch_lens,selection_protocol,selector_repair_evaluation_only,selector_state_restored,seq_len,structural_only,trainable_parameters,training_ms_optimizer_step,validation_selected_stage,variant,weight_decay,wide_batch_size
off,16,2,extension,1.0172658324951218,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/checkpoints/scale-multiscale__bank-off__continuation-early/seed42/ETTh1/h192.pt,7114eb44ef88e138,early,2,False,ETTh1,16,127.76664214162156,latentflow-factorial-2x2x2-all28-three-seed-no-exchange-v2-selector-safe,factorial,10,latentflow_process_preserving_unfreeze2,5.0,0.001,192,,27.5168362656374,False,,0.0007,0.44181997857222755,2048,1024,LatentFlow,0.44772642700674137,0.02,2689.0,1422510,,0.44055688285141964,0.44923558725187057,False,2,0.0012630957208079052,-0.001509160245129204,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/runs/scale-multiscale__bank-off__continuation-early/seed42/ETTh1/h192.json,69727e0981e81fa6c70643e78627f7df5d9c77c972a3596e44a855dda48ee1c1,,0.6691236261011424,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [16, 32, 48], 'representation_weight': 0.05}",16-32-48,,True,True,96,False,0,95.56494880416722,extension,scale-multiscale__bank-off__continuation-early,0.0001,4
off,16,0,reference,1.3008724455119802,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/checkpoints/scale-multiscale__bank-off__continuation-early/seed42/ETTh1/h336.pt,0450f7b93a488e76,early,2,False,ETTh1,16,127.34410357102752,latentflow-factorial-2x2x2-all28-three-seed-no-exchange-v2-selector-safe,factorial,10,latentflow_process_preserving_unfreeze2,5.0,0.001,336,,6.622240433610881,True,,0.0007,0.45424901281836333,2048,1024,LatentFlow,0.48029273990997007,0.02,2545.0,1479862,,0.45424901281836333,0.48029273990997007,False,2,0.0,0.0,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/runs/scale-multiscale__bank-off__continuation-early/seed42/ETTh1/h336.json,397576432298d5d08e2397eb1f00ca80b735bc479358b035b1e410d918b11e7a,,0.6930315576580695,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [16, 32, 48], 'representation_weight': 0.05}",16-32-48,,True,True,96,False,0,95.15877667072346,reference,scale-multiscale__bank-off__continuation-early,0.0001,4
off,16,0,reference,1.5787925137413872,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/checkpoints/scale-multiscale__bank-off__continuation-early/seed42/ETTh1/h720.pt,88a4f5be43a45f70,early,2,False,ETTh1,16,127.13183142337948,latentflow-factorial-2x2x2-all28-three-seed-no-exchange-v2-selector-safe,factorial,10,latentflow_process_preserving_unfreeze2,5.0,0.001,720,,6.843698280515955,True,,0.0007,0.4803721449625807,2048,1024,LatentFlow,0.49710112704298914,0.02,2161.0,1634910,,0.4803721449625807,0.49710112704298914,False,2,0.0,0.0,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/runs/scale-multiscale__bank-off__continuation-early/seed42/ETTh1/h720.json,21fd5c6749fe4e11cd16d4be49d1627c0848d4d35a5073a22d0ab21bc8c765aa,,0.7050539887434076,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [16, 32, 48], 'representation_weight': 0.05}",16-32-48,,True,True,96,False,0,95.17683327867417,reference,scale-multiscale__bank-off__continuation-early,0.0001,4
off,16,2,extension,0.7624445972698075,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/checkpoints/scale-multiscale__bank-off__continuation-early/seed42/ETTh1/h96.pt,72c3f368e2d36b47,early,2,False,ETTh1,16,122.16997799099772,latentflow-factorial-2x2x2-all28-three-seed-no-exchange-v2-selector-safe,factorial,10,latentflow_process_preserving_unfreeze2,5.0,0.001,96,,24.451454390766305,False,,0.0007,0.41372695501170487,2048,1024,LatentFlow,0.40302943149529796,0.02,2785.0,1384538,,0.41171991355278315,0.40215477523940685,False,2,0.002007041458921721,0.0008746562558911153,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/runs/scale-multiscale__bank-off__continuation-early/seed42/ETTh1/h96.json,783b761dc8200b5c5587bfd66a58fe6121e1d312e744e347e8e9e8692650bfe2,,0.6348459903750656,multiscale,42,"{'inducing_points': 32, 'latent_dim': 16, 'patch_lens': [16, 32, 48], 'representation_weight': 0.05}",16-32-48,,True,True,96,False,0,91.3380384421771,extension,scale-multiscale__bank-off__continuation-early,0.0001,4
off,16,4,extension,0.28349493222222444,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/checkpoints/scale-multiscale__bank-off__continuation-early/seed42/ETTh2/h192.pt,6c2ac767cedfb072,early,2,False,ETTh2,16,129.34700441733003,latentflow-factorial-2x2x2-all28-three-seed-no-exchange-v2-selector-safe,factorial,10,latentflow_process_preserving_unfreeze2,5.0,0.001,192,,25.10307479962082,False,,0.0007,0.43282785141887514,2048,1024,LatentFlow,0.4400540115277272,0.02,2689.0,1392262,,0.40752161966316525,0.39740199310103314,False,2,0.025306231755709896,0.04265201842669408,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/runs/scale-multiscale__bank-off__continuation-early/seed42/ETTh2/h192.json,ea5d28471aba3bd6e0734829353f621ff26b36fd9d1c721b2f03cb54baf5f507,,0.663365669542619,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [16, 32, 48], 'representation_weight': 0.001}",16-32-48,,True,True,96,False,0,96.6136558825383,extension,scale-multiscale__bank-off__continuation-early,0.0001,4
off,16,0,reference,0.3565130593622623,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/checkpoints/scale-multiscale__bank-off__continuation-early/seed42/ETTh2/h336.pt,9d3f99f1064c7032,early,2,False,ETTh2,16,123.44601850025356,latentflow-factorial-2x2x2-all28-three-seed-no-exchange-v2-selector-safe,factorial,10,latentflow_process_preserving_unfreeze2,5.0,0.001,336,,6.696322056040451,True,,0.0007,0.4249041535223649,2048,1024,LatentFlow,0.41214913227932765,0.02,2545.0,1449614,,0.4249041535223649,0.41214913227932765,False,2,0.0,0.0,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/runs/scale-multiscale__bank-off__continuation-early/seed42/ETTh2/h336.json,d75a0331ac1e64cd49eb921feeec0b7a324071d020c624e29362d3826c4e841d,,0.6419884206738683,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [16, 32, 48], 'representation_weight': 0.001}",16-32-48,,True,True,96,False,0,92.2705235061585,reference,scale-multiscale__bank-off__continuation-early,0.0001,4
off,16,0,reference,0.6195506561370123,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/checkpoints/scale-multiscale__bank-off__continuation-early/seed42/ETTh2/h720.pt,a391a2f826a9a236,early,2,False,ETTh2,16,125.84540193295106,latentflow-factorial-2x2x2-all28-three-seed-no-exchange-v2-selector-safe,factorial,10,latentflow_process_preserving_unfreeze2,5.0,0.001,720,,6.967887101667141,True,,0.0007,0.44607007720645325,2048,1024,LatentFlow,0.42525227503688534,0.02,2161.0,1604662,,0.44607007720645325,0.42525227503688534,False,2,0.0,0.0,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/runs/scale-multiscale__bank-off__continuation-early/seed42/ETTh2/h720.json,96751e1b4462042b5e40ddab1bd8ae8629be68f985e200557f4d1a321597a6d6,,0.6521136979368592,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [16, 32, 48], 'representation_weight': 0.001}",16-32-48,,True,True,96,False,0,94.27120596119494,reference,scale-multiscale__bank-off__continuation-early,0.0001,4
off,16,0,reference,0.22376768503870284,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/checkpoints/scale-multiscale__bank-off__continuation-early/seed42/ETTh2/h96.pt,bdf5bffcee41f4f8,early,2,False,ETTh2,16,122.63473133556545,latentflow-factorial-2x2x2-all28-three-seed-no-exchange-v2-selector-safe,factorial,10,latentflow_process_preserving_unfreeze2,5.0,0.001,96,,6.3039518951982085,True,,0.0007,0.3484349451687149,2048,1024,LatentFlow,0.30091272523548496,0.02,2785.0,1354290,,0.3484349451687149,0.30091272523548496,False,2,0.0,0.0,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/runs/scale-multiscale__bank-off__continuation-early/seed42/ETTh2/h96.json,fa362b1b9a7d179e855e209c0b523ed2b104043a4047ac956489b9ac8afeef4f,,0.5485551250653711,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [16, 32, 48], 'representation_weight': 0.001}",16-32-48,,True,True,96,False,0,91.61711009510327,reference,scale-multiscale__bank-off__continuation-early,0.0001,4
off,16,1,extension,0.5086500046863442,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/checkpoints/scale-multiscale__bank-off__continuation-early/seed42/ETTm1/h192.pt,7d10b0d5b3070bf2,early,2,False,ETTm1,16,129.82088187523186,latentflow-factorial-2x2x2-all28-three-seed-no-exchange-v2-selector-safe,factorial,10,latentflow_process_preserving_unfreeze2,5.0,0.001,192,,25.340342406799973,False,,0.0007,0.4002118041328561,2048,1024,LatentFlow,0.38638551910372043,0.02,11329.0,1380382,,0.39792928345770845,0.38387849383223926,False,2,0.00228252067514767,0.002507025271481167,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/runs/scale-multiscale__bank-off__continuation-early/seed42/ETTm1/h192.json,7b482bcf6b1b437c04f697e1cb8de6187cb5efb2797df335d50c2bd713e4dbd5,,0.6215991627276539,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [8, 24, 48], 'representation_weight': 0.01}",8-24-48,,True,True,96,False,0,94.21058096486377,extension,scale-multiscale__bank-off__continuation-early,0.0001,4
off,16,4,extension,0.6558191188338662,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/checkpoints/scale-multiscale__bank-off__continuation-early/seed42/ETTm1/h336.pt,7ab4cd5d5cfb4e10,early,2,False,ETTm1,16,133.86331538087688,latentflow-factorial-2x2x2-all28-three-seed-no-exchange-v2-selector-safe,factorial,10,latentflow_process_preserving_unfreeze2,5.0,0.001,336,,25.6905169112816,False,,0.0007,0.429673175566359,2048,1024,LatentFlow,0.43111590855196413,0.02,11185.0,1439992,,0.4284935573755496,0.4299403943818845,False,2,0.0011796181908093617,0.0011755141700796057,,/work/11617/sujato_ts/vista/motion_code-master/physics_modal_v4/enhancements/results/factorial/runs/scale-multiscale__bank-off__continuation-early/seed42/ETTm1/h336.json,350aac19ee77ff3cd6e8503749cab999b032af399b80d95061709523002b83df,,0.6565941734069562,multiscale,42,"{'inducing_points': 32, 'latent_dim': 8, 'patch_lens': [8, 24, 48], 'representation_weight': 0.01}",8-24-48,,True,True,96,False,0,97.34210951264686,extension,scale-multiscale__bank-off__continuation-early,0.0001,4
