best_validation_mse,epoch,learning_rate,stage,train_loss,validation_mae,validation_mse
0.36628912744067965,1,0.0001,model,0.580256914254278,0.4391724339553288,0.36628912744067965
0.3396714400677454,2,0.0001,model,0.5538001079112291,0.42028834351471495,0.3396714400677454
0.3350760063954762,3,0.0001,model,0.5419163915794343,0.4163294030087335,0.3350760063954762
0.3322285353427842,4,0.0001,model,0.5334785487502813,0.41370650558244615,0.3322285353427842
0.32891403280553366,5,0.0001,model,0.5275562382303178,0.4104297821010862,0.32891403280553366
0.32891403280553366,6,0.0001,model,0.5231121382676065,0.411148862469764,0.329919107967899
0.32644724420138765,7,0.0001,model,0.5195465239230543,0.40859838610603694,0.32644724420138765
0.32644724420138765,8,0.0001,model,0.5167413526214659,0.408176383801869,0.3269870472805841
0.32644724420138765,9,0.0001,model,0.5146195935085416,0.4091171927395321,0.3280223806699117
0.3181969750495184,10,0.0001,model,0.5128789651207626,0.4022626451083592,0.3181969750495184
