best_validation_mse,epoch,learning_rate,stage,train_loss,validation_mae,validation_mse
0.6568552047487289,1,0.0001,model,0.7052121330052614,0.47521437214615664,0.6568552047487289
0.623972106142109,2,0.0001,model,0.6429011924192309,0.45265430982421045,0.623972106142109
0.6097541698793165,3,0.0001,model,0.6178283244371414,0.4392142403963742,0.6097541698793165
0.6016152515973634,4,0.0001,model,0.6045433115214109,0.4310371454070214,0.6016152515973634
0.597830964864787,5,0.0001,model,0.5967317917384207,0.4251816921493634,0.597830964864787
0.5940287459193985,6,0.0001,model,0.5916866944171488,0.42179730960300993,0.5940287459193985
0.5933269151484345,7,0.0001,model,0.5881853490136564,0.41869585908729745,0.5933269151484345
0.5924835918711967,8,0.0001,model,0.5858601927757263,0.41643100098417457,0.5924835918711967
0.5905180739707687,9,0.0001,model,0.5839753607288003,0.4152547853603925,0.5905180739707687
0.5894107321222353,10,0.0001,model,0.5825068154372275,0.41412922206108804,0.5894107321222353
