best_validation_mse,epoch,learning_rate,stage,train_loss,validation_mae,validation_mse
0.26942661067559603,1,0.0001,model,0.5297014233656228,0.3655852370318912,0.26942661067559603
0.25609640936766354,2,0.0001,model,0.5170828574337065,0.35524035635448636,0.25609640936766354
0.23127830950986772,3,0.0001,model,0.4798570240382105,0.3347630444027129,0.23127830950986772
0.22368758100838887,4,0.0001,model,0.4556950172409415,0.327451096758956,0.22368758100838887
0.221174327035745,5,0.0001,model,0.44562837900593877,0.3248671612569264,0.221174327035745
0.221174327035745,6,0.0001,model,0.4395791692659259,0.3234906324318477,0.22147695542800994
0.22073746366160257,7,0.0001,model,0.4353218066971749,0.3225552723521278,0.22073746366160257
0.21888662023203714,8,0.0001,model,0.4335742255207151,0.3207539280965215,0.21888662023203714
0.21792554269943917,9,0.0001,model,0.43159189843572676,0.31999786233618144,0.21792554269943917
0.21792554269943917,10,0.0001,model,0.4279465992003679,0.32063370162532445,0.21883935250696682
