best_validation_mse,epoch,learning_rate,stage,train_loss,validation_mae,validation_mse
1.8193662416367304,1,4.877641290737884e-05,model,0.7787863006815314,0.9578005238184853,1.8193662416367304
1.6674731284853013,2,4.522542485937368e-05,model,0.6965004429221153,0.8966459327273899,1.6674731284853013
1.6240525533282568,3,3.969463130731183e-05,model,0.6620746334083378,0.8789250335996113,1.6240525533282568
1.605101728439331,4,3.2725424859373684e-05,model,0.6494382307864726,0.871014630605304,1.605101728439331
1.5941891776190864,5,2.4999999999999998e-05,model,0.6406140506733209,0.8660813626788911,1.5941891776190864
1.5865624564034597,6,1.7274575140626315e-05,model,0.6339163868688047,0.8624066640460302,1.5865624564034597
1.582248766460116,7,1.0305368692688173e-05,model,0.6292326892726123,0.8605266215309264,1.582248766460116
1.5803752142285543,8,4.774575140626316e-06,model,0.6261322780046612,0.8595773560660226,1.5803752142285543
1.5792074975513277,9,1.2235870926211614e-06,model,0.6243773109745234,0.8591106006077358,1.5792074975513277
1.5789823865133619,10,0.0,model,0.6236540689133108,0.8590026719229562,1.5789823865133619
