best_validation_mse,epoch,learning_rate,stage,train_loss,validation_mae,validation_mse
1.1358524564712766,1,0.001,model,0.6038491267245263,0.7267158235822405,1.1358524564712766
1.0657581605608502,2,0.001,model,0.517281579785049,0.692919755738879,1.0657581605608502
1.0505725508644468,3,0.001,model,0.4867765596136451,0.6846628681061759,1.0505725508644468
1.040241575241089,4,0.001,model,0.4629760531242937,0.6807439838136945,1.040241575241089
1.040241575241089,5,0.001,model,0.4415394999086857,0.6933529914371551,1.056276171548026
1.0331168239078825,6,0.001,model,0.4192349670920521,0.6783479554312569,1.0331168239078825
1.0331168239078825,7,0.001,model,0.403250117553398,0.6825022985064794,1.0428561649625263
1.029394957375905,8,0.001,model,0.3792520477436483,0.6755891413915724,1.029394957375905
1.029394957375905,9,0.001,model,0.36277141934260726,0.6784243591248043,1.0357736000939022
1.019224706907121,10,0.001,model,0.3491312258411199,0.6753556217466082,1.019224706907121
