best_validation_mse,epoch,learning_rate,stage,train_loss,validation_mae,validation_mse
0.5426963194340398,1,0.001,model,0.525766342820134,0.3966845554247072,0.5426963194340398
0.4841945459929346,2,0.001,model,0.3668638763483614,0.35093104922301255,0.4841945459929346
0.46025356689535735,3,0.001,model,0.3342110692465212,0.32504624566272167,0.46025356689535735
0.4528946577811186,4,0.001,model,0.31818991850013845,0.32013303405631904,0.4528946577811186
0.44113303401722803,5,0.001,model,0.3078503347642254,0.31558940600537555,0.44113303401722803
0.43442402509230565,6,0.001,model,0.30078522823168896,0.3125436014660734,0.43442402509230565
0.42554987859836585,7,0.001,model,0.2950931958039291,0.3061870858361347,0.42554987859836585
0.42358824714430526,8,0.001,model,0.28919577741180547,0.3039512812215417,0.42358824714430526
0.4197992648805469,9,0.001,model,0.286682744132122,0.29794214542577735,0.4197992648805469
0.4197992648805469,10,0.001,model,0.2841112693422474,0.2944811412924865,0.42512975860176766
