best_validation_mse,epoch,learning_rate,stage,train_loss,validation_mae,validation_mse
0.7914219578737935,1,0.001,model,0.7939717969857156,0.5147115505561627,0.7914219578737935
0.7538121813819522,2,0.001,model,0.7168091866187751,0.4920671306589924,0.7538121813819522
0.7291425725139639,3,0.001,model,0.6684857457876205,0.4804446825905452,0.7291425725139639
0.7278474716913133,4,0.001,model,0.647607677616179,0.47778743915456945,0.7278474716913133
0.7167530882295478,5,0.001,model,0.6349519607611,0.4744968313388723,0.7167530882295478
0.7167530882295478,6,0.001,model,0.6236721915192902,0.4803490921303078,0.7309987855336023
0.7167530882295478,7,0.001,model,0.6148898168466985,0.4822439264368128,0.724792855378812
0.7106914853292798,8,0.001,model,0.6182797648943961,0.47171759731555113,0.7106914853292798
0.7106914853292798,9,0.001,model,0.5932674512732774,0.47569507719978454,0.7273822431211119
0.7106914853292798,10,0.001,model,0.5852743959985673,0.47537923540387833,0.7206352324712844
