best_validation_mse,epoch,learning_rate,stage,train_loss,validation_mae,validation_mse
1.5340453621481551,1,0.0001,model,0.6919236509129405,0.8661075173592081,1.5340453621481551
1.414507124699703,2,0.0001,model,0.5863866717554629,0.8181796430730496,1.414507124699703
1.373841245158189,3,0.0001,model,0.5542214559391141,0.8016784580386415,1.373841245158189
1.3466074515362174,4,0.0001,model,0.5390245015732944,0.7904342502152839,1.3466074515362174
1.3271904332297189,5,0.0001,model,0.5281049190089107,0.7817262046191157,1.3271904332297189
1.31495332555706,6,0.0001,model,0.5196167281828821,0.7758657818748838,1.31495332555706
1.307019955446931,7,0.0001,model,0.5137691609561443,0.7719556879835064,1.307019955446931
1.300548671865139,8,0.0001,model,0.5087460391223431,0.7687456924088147,1.300548671865139
1.2976757936737164,9,0.0001,model,0.5048377844505012,0.7672732922495628,1.2976757936737164
1.2976757936737164,10,0.0001,model,0.5009015360847116,0.7670888560158866,1.2977355394233652
