best_validation_mse,epoch,learning_rate,stage,train_loss,validation_mae,validation_mse
0.24007714727297932,1,0.0001,model,0.5022954056039453,0.3435823090222417,0.24007714727297932
0.2308396173983204,2,0.0001,model,0.4725239113904536,0.33542882058085227,0.2308396173983204
0.2277587092652613,3,0.0001,model,0.4609993966296315,0.3325143926808623,0.2277587092652613
0.2254809558797045,4,0.0001,model,0.4542032410390675,0.3305094262369636,0.2254809558797045
0.22429866936742043,5,0.0001,model,0.4489750300999731,0.3295664495351363,0.22429866936742043
0.2240660632548689,6,0.0001,model,0.4423123642336577,0.3297138453340855,0.2240660632548689
0.2237038498833066,7,0.0001,model,0.4373505278490484,0.32935304949883704,0.2237038498833066
0.2237038498833066,8,0.0001,model,0.432965092593804,0.3314239812546036,0.22571947440809134
0.2237038498833066,9,0.0001,model,0.4275664621964097,0.3309324290476689,0.22556145661542204
0.2237038498833066,10,0.0001,model,0.4216727870516479,0.33098032320437787,0.22529777783114893
