best_validation_mse,epoch,learning_rate,stage,train_loss,validation_mae,validation_mse
0.2273288120361875,1,0.0001,model,0.37419616198167205,0.31501002524624483,0.2273288120361875
0.20283117067157788,2,0.0001,model,0.25272991860401817,0.2915319583745265,0.20283117067157788
0.1933075530321056,3,0.0001,model,0.23485627883928828,0.2810787565982973,0.1933075530321056
0.18863825876022053,4,0.0001,model,0.22680537195992656,0.27584805716359106,0.18863825876022053
0.18477210204425507,5,0.0001,model,0.2216020027990453,0.27183078723037973,0.18477210204425507
0.18217624143647998,6,0.0001,model,0.21766555710928515,0.26865438700712607,0.18217624143647998
0.17919444938810197,7,0.0001,model,0.21445149902137928,0.2658367956662599,0.17919444938810197
0.17698641172450652,8,0.0001,model,0.21161342100822367,0.2631857908279601,0.17698641172450652
0.17587889172330204,9,0.0001,model,0.2090361398004461,0.2633756475285206,0.17587889172330204
0.17279537562145497,10,0.0001,model,0.2069900628994219,0.25939136613566555,0.17279537562145497
