best_validation_mse,epoch,learning_rate,stage,train_loss,validation_mae,validation_mse
0.6324330867950251,1,0.0001,model,0.5942571386694908,0.43432732330950674,0.6324330867950251
0.5645212202411425,2,0.0001,model,0.45602006948320195,0.3923122594269873,0.5645212202411425
0.5254438424055095,3,0.0001,model,0.41398772899992764,0.3714575567452002,0.5254438424055095
0.5020026750372808,4,0.0001,model,0.3855124414549209,0.3596749296505508,0.5020026750372808
0.48279268291691707,5,0.0001,model,0.36705584870651364,0.34746266794315345,0.48279268291691707
0.47090445630603855,6,0.0001,model,0.3544720765785314,0.3397702054284104,0.47090445630603855
0.4630149695085908,7,0.0001,model,0.34509205498034135,0.33455169744852986,0.4630149695085908
0.4538514619636978,8,0.0001,model,0.33769375242991373,0.32863653904692847,0.4538514619636978
0.4492752392533576,9,0.0001,model,0.3315824585733935,0.32501310372850456,0.4492752392533576
0.44541501768411634,10,0.0001,model,0.3266483934712596,0.3219747805171297,0.44541501768411634
