best_validation_mse,epoch,learning_rate,stage,train_loss,validation_mae,validation_mse
0.8796593731673307,1,0.0001,model,0.9077943107113242,0.5505169358833757,0.8796593731673307
0.8368636600554935,2,0.0001,model,0.8227430190891027,0.5296231940940574,0.8368636600554935
0.8205693108694894,3,0.0001,model,0.7864852910861373,0.5209508179356812,0.8205693108694894
0.8129901845619161,4,0.0001,model,0.7707451954483986,0.5178351336686069,0.8129901845619161
0.8081866491408575,5,0.0001,model,0.7624023351818323,0.5157508951015574,0.8081866491408575
0.8065092934502496,6,0.0001,model,0.7583038797602057,0.5137907038290034,0.8065092934502496
0.8042285646711077,7,0.0001,model,0.7522874781861901,0.5141276657265961,0.8042285646711077
0.8028264383790354,8,0.0001,model,0.7480800105258822,0.5126960613109447,0.8028264383790354
0.8015571785982324,9,0.0001,model,0.7447723364457488,0.512687418700526,0.8015571785982324
0.8003673725027256,10,0.0001,model,0.7387710586190224,0.5087533668235497,0.8003673725027256
