better_than_latentflow,degradation_vs_latentflow_percent,latentflow_mean,mean,metric,tasks,ties_with_latentflow,variant,worse_than_latentflow
4,4.274133489330834,0.3461347963211862,0.3609290595689771,mse,28,0,single_scale_field,24
5,3.464120497997314,0.3498895188234993,0.3620101133654083,mae,28,0,single_scale_field,23
2,3.5912208393669154,0.3461347963211862,0.35856526125897287,mse,28,0,multiscale_field,26
4,2.6921728895712205,0.3498895188234993,0.3593091495927167,mae,28,0,multiscale_field,24
6,2.6620378096759545,0.3461347963211862,0.35534903547170105,mse,28,0,adaptive_local_field,22
3,2.2537832205491437,0.3498895188234993,0.35777527008920346,mae,28,0,adaptive_local_field,25
5,2.084229450317987,0.3461347963211862,0.35334903968391057,mse,28,0,component_gated_field,23
4,1.7093481869110638,0.3498895188234993,0.3558703489697006,mae,28,0,component_gated_field,24
3,0.9787777647368712,0.3461347963211862,0.3495226867435952,mse,28,8,linear_field_bank,17
3,0.8132436712715574,0.3498895188234993,0.3527349731917739,mae,28,8,linear_field_bank,17
11,0.20985047067074714,0.3461347963211862,0.3468611618204215,mse,28,8,x_to_z,9
10,0.009668486856151404,0.3498895188234993,0.3499233478456378,mae,28,8,x_to_z,10
11,0.4414313386206459,0.3461347963211862,0.34766274378601864,mse,28,6,single_stochastic,11
10,0.20657996549229285,0.3498895188234993,0.35061232047074603,mae,28,6,single_stochastic,12
12,0.6511468012190269,0.3461347963211862,0.3483886419753376,mse,28,6,multi_stochastic,10
10,0.39275274827164086,0.3498895188234993,0.351263719524593,mae,28,6,multi_stochastic,12
12,0.7385356064537163,0.3461347963211862,0.3486911250383442,mse,28,6,learned_inducing_elbo,10
9,0.3737221694179338,0.3498895188234993,0.35119713352381243,mae,28,6,learned_inducing_elbo,13
5,0.009348651116236617,0.3461347963211862,0.34616715525568614,mse,28,8,process_preserving,15
7,0.013478392497101588,0.3498895188234993,0.34993667830615255,mae,28,8,process_preserving,13
6,0.18735764295612078,0.3461347963211862,0.34678330631702453,mse,28,8,fixed_inducing,14
5,0.09613441849876114,0.3498895188234993,0.35022588307780833,mae,28,8,fixed_inducing,15
9,0.03703189226165193,0.3461347963211862,0.34626297658603994,mse,28,8,random_process_families,11
10,0.018904642930328563,0.3498895188234993,0.3499556641876835,mae,28,8,random_process_families,10
6,0.21004845651677595,0.3461347963211862,0.34686184711832635,mse,28,7,no_sensor_priors,15
6,0.16665752532709632,0.3498895188234993,0.3504726360369494,mae,28,7,no_sensor_priors,15
12,0.6261872575056504,0.3461347963211862,0.3483022483095426,mse,28,1,continuation_frozen,15
13,0.5382450472916744,0.3498895188234993,0.3517727818295594,mae,28,1,continuation_frozen,14
5,0.07578159469916468,0.3461347963211862,0.3463971027896471,mse,28,8,continuation_last1,15
5,0.05903052258093844,0.3498895188234993,0.3500960604349167,mae,28,8,continuation_last1,15
0,0.0,0.3461347963211862,0.3461347963211862,mse,28,28,continuation_last2,0
0,0.0,0.3498895188234993,0.3498895188234993,mae,28,28,continuation_last2,0
10,0.14174854948758586,0.3461347963211862,0.34662543737424334,mse,28,5,continuation_full,13
10,0.04804259686634893,0.3498895188234993,0.35005761483450526,mae,28,5,continuation_full,13
5,0.4445083939815353,0.3461347963211862,0.3476733945453248,mse,28,8,no_nll,15
4,0.24377197923262095,0.3498895188234993,0.35074245142866284,mae,28,8,no_nll,16
