ablation_protocol,ablation_seed,backbone_patch_lens,backbone_switches,best_epoch,best_stage,best_validation_mse,candidate,checkpoint,continuation_unfreeze_blocks,dataset,elapsed_seconds,horizon,inducing_points,inference_ms_batch,latent_dim,mae,model,mse,nll_weight,num_windows,parameters,patch_lens,primal_dual,representation_weight,rmse,seed,selected_hyperparameters,selection_protocol,source_model,training_ms_optimizer_step,variant
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,16-32-48,"{'use_adaptive_radius': True, 'use_component_gate': False, 'use_linear_field': False}",2,backbone,1.0434999355957622,,,,ETTh1,38.248927620239556,192,,5.51472409645062,,0.4408569868599455,LatentFlow,0.44687890850251494,,2689.0,,,False,,0.6684900212437841,42,True,,,,adaptive_local_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,16-32-48,"{'use_adaptive_radius': True, 'use_component_gate': False, 'use_linear_field': False}",2,backbone,1.306374806125148,,,,ETTh1,37.7418863857165,336,,5.6535539370548875,,0.4552266033997461,LatentFlow,0.4776775790964332,,2545.0,,,False,,0.6911422278347874,42,True,,,,adaptive_local_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,16-32-48,"{'use_adaptive_radius': True, 'use_component_gate': False, 'use_linear_field': False}",2,backbone,1.5772145558917334,,,,ETTh1,37.117411885992624,720,,5.438762911553703,,0.4961281001015763,LatentFlow,0.5394376357538294,,2161.0,,,False,,0.7344641827576274,42,True,,,,adaptive_local_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,16-32-48,"{'use_adaptive_radius': True, 'use_component_gate': False, 'use_linear_field': False}",5,backbone,0.7674230056859198,,,,ETTh1,40.42862722603604,96,,5.8566616293624305,,0.41844288693173903,LatentFlow,0.40350432763234606,,2785.0,,,False,,0.635219904940286,42,True,,,,adaptive_local_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,16-32-48,"{'use_adaptive_radius': True, 'use_component_gate': False, 'use_linear_field': False}",3,backbone,0.28636703409609343,,,,ETTh2,38.99063799298892,192,,5.722499275294238,,0.40988390919726014,LatentFlow,0.3921738936857225,,2689.0,,,False,,0.6262378890531317,42,True,,,,adaptive_local_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,16-32-48,"{'use_adaptive_radius': True, 'use_component_gate': False, 'use_linear_field': False}",4,backbone,0.36033445687926546,,,,ETTh2,38.182336633093655,336,,5.249774283906327,,0.42822782037418206,LatentFlow,0.4132086324963894,,2545.0,,,False,,0.6428130618588809,42,True,,,,adaptive_local_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,16-32-48,"{'use_adaptive_radius': True, 'use_component_gate': False, 'use_linear_field': False}",3,backbone,0.6219377415520805,,,,ETTh2,36.86097009014338,720,,5.40995538415415,,0.4448854704431301,LatentFlow,0.42661674925804693,,2161.0,,,False,,0.6531590535681542,42,True,,,,adaptive_local_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,16-32-48,"{'use_adaptive_radius': True, 'use_component_gate': False, 'use_linear_field': False}",3,backbone,0.2276345327319134,,,,ETTh2,36.732675621751696,96,,5.31147691189726,,0.3539495203651362,LatentFlow,0.30527210662820925,,2785.0,,,False,,0.5525143497034346,42,True,,,,adaptive_local_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-24-48,"{'use_adaptive_radius': True, 'use_component_gate': False, 'use_linear_field': False}",4,backbone,0.5105091077940804,,,,ETTm1,40.27226580597926,192,,5.357012920486023,,0.3985747117507451,LatentFlow,0.38206850738651743,,11329.0,,,False,,0.6181169043041271,42,True,,,,adaptive_local_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-24-48,"{'use_adaptive_radius': True, 'use_component_gate': False, 'use_linear_field': False}",4,backbone,0.6600376791289063,,,,ETTm1,40.33266575075686,336,,5.128510704632304,,0.4265083816751653,LatentFlow,0.42545949876350314,,11185.0,,,False,,0.6522725647790985,42,True,,,,adaptive_local_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-24-48,"{'use_adaptive_radius': True, 'use_component_gate': False, 'use_linear_field': False}",9,backbone,0.9880546600099593,,,,ETTm1,42.813181068981066,720,,5.5533473071426664,,0.47296464302912333,LatentFlow,0.5061885161010804,,10801.0,,,False,,0.7114692657459494,42,True,,,,adaptive_local_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-24-48,"{'use_adaptive_radius': True, 'use_component_gate': False, 'use_linear_field': False}",4,backbone,0.4043538219162396,,,,ETTm1,40.89705011434853,96,,5.364901468492156,,0.3868045662715682,LatentFlow,0.3533700048624134,,11425.0,,,False,,0.594449329095772,42,True,,,,adaptive_local_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-16-32,"{'use_adaptive_radius': True, 'use_component_gate': False, 'use_linear_field': False}",3,backbone,0.17610654563066505,,,,ETTm2,41.8157376460731,192,,5.650029469629199,,0.308863517646393,LatentFlow,0.249191209785683,,11329.0,,,False,,0.4991905545838012,42,True,,,,adaptive_local_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-16-32,"{'use_adaptive_radius': True, 'use_component_gate': False, 'use_linear_field': False}",2,backbone,0.2220294746209164,,,,ETTm2,40.48984678275883,336,,5.076672813126598,,0.3517297258834976,LatentFlow,0.3152933889765376,,11185.0,,,False,,0.561509918858552,42,True,,,,adaptive_local_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-16-32,"{'use_adaptive_radius': True, 'use_component_gate': False, 'use_linear_field': False}",3,backbone,0.2993374145220196,,,,ETTm2,41.52480418793857,720,,5.618182994088142,,0.4060210463709759,LatentFlow,0.4149355499828047,,10801.0,,,False,,0.6441549114792223,42,True,,,,adaptive_local_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-16-32,"{'use_adaptive_radius': True, 'use_component_gate': False, 'use_linear_field': False}",3,backbone,0.13233978070673488,,,,ETTm2,40.25728340796195,96,,5.2184799002277105,,0.26787137579194975,LatentFlow,0.18371162135613217,,11425.0,,,False,,0.42861593689004635,42,True,,,,adaptive_local_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-16-32,"{'use_adaptive_radius': True, 'use_component_gate': False, 'use_linear_field': False}",10,backbone,0.16058233507201927,,,,Electricity,81.55908787499357,192,,5.140103086806932,,0.2744835095281479,LatentFlow,0.18338250215547458,,5071.0,,,False,,0.42823183225383255,42,True,,,,adaptive_local_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-16-32,"{'use_adaptive_radius': True, 'use_component_gate': False, 'use_linear_field': False}",9,backbone,0.17668270212379164,,,,Electricity,84.02809377387166,336,,5.1488332011229625,,0.2901108104799156,LatentFlow,0.19848595983644296,,4927.0,,,False,,0.4455176313418392,42,True,,,,adaptive_local_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-16-32,"{'use_adaptive_radius': True, 'use_component_gate': False, 'use_linear_field': False}",10,backbone,0.20732180950921397,,,,Electricity,92.51304119685665,720,,5.588310654069801,,0.32287873947897167,LatentFlow,0.23969925892910954,,4543.0,,,False,,0.4895909097696867,42,True,,,,adaptive_local_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-16-32,"{'use_adaptive_radius': True, 'use_component_gate': False, 'use_linear_field': False}",10,backbone,0.1471575207675605,,,,Electricity,79.78785281768069,96,,5.1370321022158905,,0.26457586951028567,LatentFlow,0.1695350266174589,,5167.0,,,False,,0.41174631342303347,42,True,,,,adaptive_local_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-16-32,"{'use_adaptive_radius': True, 'use_component_gate': False, 'use_linear_field': False}",10,backbone,0.40576237407840693,,,,Traffic,195.16064147895668,192,,5.198070219861893,,0.31684729435497744,LatentFlow,0.47294972177514744,,3319.0,,,False,,0.6877134008983302,42,True,,,,adaptive_local_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-16-32,"{'use_adaptive_radius': True, 'use_component_gate': False, 'use_linear_field': False}",10,backbone,0.41138337248794915,,,,Traffic,203.65032604010776,336,,5.098956679417328,,0.3132628807764314,LatentFlow,0.4753229089117812,,3175.0,,,False,,0.6894366605510481,42,True,,,,adaptive_local_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-16-32,"{'use_adaptive_radius': True, 'use_component_gate': False, 'use_linear_field': False}",10,backbone,0.4568911016217886,,,,Traffic,229.5378161210101,720,,5.584044632202164,,0.33164405949288117,LatentFlow,0.5091763015903926,,2791.0,,,False,,0.7135659055689199,42,True,,,,adaptive_local_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-16-32,"{'use_adaptive_radius': True, 'use_component_gate': False, 'use_linear_field': False}",10,backbone,0.40899850708149427,,,,Traffic,191.16429935768247,96,,5.551585324213538,,0.31321538124812276,LatentFlow,0.45177158754327434,,3415.0,,,False,,0.6721395595732141,42,True,,,,adaptive_local_field
