dataset,mean_gflops_per_sample,mean_inference_ms_batch,mean_parameters_total,mean_parameters_trainable,mean_peak_inference_gpu_mb,mean_peak_training_gpu_mb,mean_training_ms_iter,model,tasks
ETTh1,0.08855344125,21.93078709387919,1719363.0,688305.5,40.5465087890625,111.9586181640625,195.27904510468943,LatentFlow,4
ETTh2,0.1652680805,36.51723551156465,1689115.0,658057.5,44.3756103515625,110.4532470703125,194.88445681490703,LatentFlow,4
ETTm1,0.32659702375,51.07242290250724,1680909.0,653442.5,44.8189697265625,117.2347412109375,196.1374038422946,LatentFlow,4
ETTm2,0.21787755250000002,34.567961969878525,1656876.0,638066.0,40.6357421875,119.0093994140625,183.30934029072523,LatentFlow,4
Weather,2.161171297,75.94028537278064,1677474.0,658650.0,53.8690185546875,251.7432861328125,240.3359508898575,LatentFlow,4
Electricity,20.879603726,62.47325674048625,1670469.0,651345.0,190.4156494140625,1800.4219970703125,196.95223648886895,LatentFlow,4
Traffic,56.038278354,64.33134722174145,1672092.0,652427.0,446.9068603515625,4693.3006591796875,198.9095261262264,LatentFlow,4
ETTh1,0.071225952,1.1883469531312585,672163.0,672163.0,35.964599609375,76.852783203125,6.456669524777681,VPNet,4
ETTh2,0.071225952,1.1879937985213473,672163.0,672163.0,35.964599609375,76.852783203125,6.43565939826658,VPNet,4
ETTm1,0.071225952,1.196729563525878,672163.0,672163.0,35.964599609375,76.852783203125,6.422754205414094,VPNet,4
ETTm2,0.071225952,1.211807638173923,672163.0,672163.0,35.964599609375,76.852783203125,6.544234495959245,VPNet,4
Weather,0.213677856,1.2132883304730058,672163.0,672163.0,36.8043212890625,77.5928955078125,6.285822868812829,VPNet,4
Electricity,3.266218656,1.2234016641741619,672163.0,672163.0,60.1416015625,149.103271484375,6.572762824362144,VPNet,4
Traffic,8.770967232,1.2492076639318839,672163.0,672163.0,102.304931640625,278.9493408203125,7.0587417896604165,VPNet,4
ETTh1,0.082305902,2.2616566842771135,444571.0,379387.0,35.93212890625,72.4112548828125,10.535598103888333,xCPD,4
ETTh2,0.082305902,2.365154563449323,444571.0,379387.0,35.93212890625,72.4112548828125,10.746277123689651,xCPD,4
ETTm1,0.101094518,2.825507782108616,645282.0,580098.0,36.4384765625,75.42724609375,14.13319338025758,xCPD,4
ETTm2,0.016466618,2.916431966878008,348990.0,283806.0,34.59765625,70.0130615234375,13.596109511854593,xCPD,4
Weather,0.057510389999999995,2.9378556995652616,717130.0,651946.0,36.2476806640625,76.7681884765625,14.613223692867905,xCPD,4
Electricity,11.023155408,3.1972182099707425,1928810.0,1863626.0,76.2618408203125,219.4495849609375,14.75254895631224,xCPD,4
Traffic,70.550238288,3.54335603187792,26801540.0,26736356.0,219.695068359375,631.441650390625,15.237224684096873,xCPD,4
ETTh1,0.040540423,5.499508065986447,2314308.0,2314308.0,41.9130859375,108.79052734375,29.368221062759403,TimePro,4
ETTh2,0.028478358999999998,2.778416298679076,1637334.0,1637334.0,39.3394775390625,95.4971923828125,15.64561455452349,TimePro,4
ETTm1,0.056727475,4.717127524781972,3240715.5,3240715.5,45.4638671875,127.2490234375,26.110802171751857,TimePro,4
ETTm2,0.028514311,5.168855638476089,1627804.0,1627804.0,39.28564453125,95.406494140625,29.099843237781897,TimePro,4
Weather,0.824307645,15.494555568147916,15676290.0,15676290.0,93.33642578125,366.6375732421875,97.38408930861624,TimePro,4
Electricity,9.414188169,110.44438853277825,11716564.0,11716564.0,86.4066162109375,294.6451416015625,931.0896752533154,TimePro,4
Traffic,31.141978269999996,283.5334535338916,14442900.0,14442900.0,116.95166015625,471.0064697265625,2783.0661224666983,TimePro,4
ETTh1,0.002668407,1.8823292688466609,320976.0,320976.0,34.2646484375,70.14501953125,7.669957907637581,iTransformer,4
ETTh2,0.002668407,1.8883538272348233,320976.0,320976.0,34.2646484375,70.14501953125,7.8286229487275705,iTransformer,4
ETTm1,0.002668407,1.9661304890178144,320976.0,320976.0,34.2646484375,70.14501953125,7.853322317532729,iTransformer,4
ETTm2,0.002668407,1.9182691117748618,320976.0,320976.0,34.2646484375,70.14501953125,7.678875362034887,iTransformer,4
Weather,0.008310981,1.9931774906581268,320976.0,320976.0,34.3402099609375,70.185791015625,7.836226835206617,iTransformer,4
Electricity,0.227191281,2.1342114720027894,320976.0,320976.0,44.09326171875,91.74072265625,8.437593288545031,iTransformer,4
Traffic,1.095085662,2.0988127842429094,320976.0,320976.0,105.1015625,220.6827392578125,7.898380822734907,iTransformer,4
ETTh1,0.427248213,2.9191851266659796,224509.0,224509.0,40.060546875,83.145263671875,11.988616804592311,TimeMixer,4
ETTh2,0.427248213,2.847698643745389,224509.0,224509.0,40.060546875,83.145263671875,12.154948445095215,TimeMixer,4
ETTm1,0.427248213,2.90837525826646,224509.0,224509.0,40.060546875,83.145263671875,12.385876625194214,TimeMixer,4
ETTm2,0.427248213,2.8769428681698628,224509.0,224509.0,40.060546875,83.145263671875,11.669163465558086,TimeMixer,4
Weather,1.281744639,2.9048121417872608,224565.0,224565.0,48.0694580078125,113.578857421875,11.902448046021163,TimeMixer,4
Electricity,19.592382339,3.06163909699535,225765.0,225765.0,233.10595703125,733.7462158203125,12.950136033759918,TimeMixer,4
Traffic,52.612565657999994,5.51120562304277,227929.0,227929.0,559.271728515625,1762.68505859375,16.793898402829655,TimeMixer,4
ETTh1,0.0009055199999999999,0.3403761613299139,65184.0,65184.0,32.294921875,65.26708984375,1.4175727046676911,DLinear,4
ETTh2,0.0009055199999999999,0.3454918973147869,65184.0,65184.0,32.294921875,65.26708984375,1.4311298611573875,DLinear,4
ETTm1,0.0009055199999999999,0.3186575195286423,65184.0,65184.0,32.294921875,65.26708984375,1.4342027512611821,DLinear,4
ETTm2,0.0009055199999999999,0.31789713248144835,65184.0,65184.0,32.294921875,65.26708984375,1.4054106330149807,DLinear,4
Weather,0.00271656,0.3138627333100885,65184.0,65184.0,32.38134765625,65.307861328125,1.395959354704246,DLinear,4
Electricity,0.04152456,0.3222081111744046,65184.0,65184.0,34.24853515625,67.15869140625,1.421313057653606,DLinear,4
