dataset,gflops_per_sample,gpu,horizon,inference_ms_batch,model,parameters_total,parameters_trainable,peak_inference_gpu_mb,peak_training_gpu_mb,profile_batch_size,training_ms_iter
ETTh1,0.00025872,NVIDIA GH200 120GB,96,0.34020482562482357,DLinear,18624.0,18624.0,32.091796875,64.36572265625,1,1.3390270993113518
ETTh1,0.00051744,NVIDIA GH200 120GB,192,0.3480995073914528,DLinear,37248.0,37248.0,32.1728515625,64.72705078125,1,1.4448031783103943
ETTh1,0.00090552,NVIDIA GH200 120GB,336,0.34457133151590824,DLinear,65184.0,65184.0,32.294921875,65.26708984375,1,1.433938555419445
ETTh1,0.0019404,NVIDIA GH200 120GB,720,0.32862898078747094,DLinear,139680.0,139680.0,32.6201171875,66.70849609375,1,1.4525219856295735
ETTh2,0.00025872,NVIDIA GH200 120GB,96,0.34378538839519024,DLinear,18624.0,18624.0,32.091796875,64.36572265625,1,1.429685391485691
ETTh2,0.00051744,NVIDIA GH200 120GB,192,0.34814393147826195,DLinear,37248.0,37248.0,32.1728515625,64.72705078125,1,1.3497351668775082
ETTh2,0.00090552,NVIDIA GH200 120GB,336,0.3428816329687834,DLinear,65184.0,65184.0,32.294921875,65.26708984375,1,1.5159123577177525
ETTh2,0.0019404,NVIDIA GH200 120GB,720,0.3471566364169121,DLinear,139680.0,139680.0,32.6201171875,66.70849609375,1,1.4291865285485983
ETTm1,0.00025872,NVIDIA GH200 120GB,96,0.3073045110795647,DLinear,18624.0,18624.0,32.091796875,64.36572265625,1,1.4264076948165894
ETTm1,0.00051744,NVIDIA GH200 120GB,192,0.31518759205937386,DLinear,37248.0,37248.0,32.1728515625,64.72705078125,1,1.4301178511232138
ETTm1,0.00090552,NVIDIA GH200 120GB,336,0.32430877909064293,DLinear,65184.0,65184.0,32.294921875,65.26708984375,1,1.422345358878374
ETTm1,0.0019404,NVIDIA GH200 120GB,720,0.3278291958849877,DLinear,139680.0,139680.0,32.6201171875,66.70849609375,1,1.4579401002265513
ETTm2,0.00025872,NVIDIA GH200 120GB,96,0.3128642216324806,DLinear,18624.0,18624.0,32.091796875,64.36572265625,1,1.4482043217867613
ETTm2,0.00051744,NVIDIA GH200 120GB,192,0.30904393643140793,DLinear,37248.0,37248.0,32.1728515625,64.72705078125,1,1.409254502505064
ETTm2,0.00090552,NVIDIA GH200 120GB,336,0.3249008674174547,DLinear,65184.0,65184.0,32.294921875,65.26708984375,1,1.3250946067273617
ETTm2,0.0019404,NVIDIA GH200 120GB,720,0.32477950444445014,DLinear,139680.0,139680.0,32.6201171875,66.70849609375,1,1.4390891010407358
Electricity,0.01186416,NVIDIA GH200 120GB,96,0.32448330894112587,DLinear,18624.0,18624.0,32.89501953125,65.15576171875,1,1.43844373524189
Electricity,0.02372832,NVIDIA GH200 120GB,192,0.3367297351360321,DLinear,37248.0,37248.0,33.43701171875,65.9580078125,1,1.44336624071002
Electricity,0.04152456,NVIDIA GH200 120GB,336,0.30375225469470024,DLinear,65184.0,65184.0,34.24853515625,67.15869140625,1,1.4725399669259787
Electricity,0.0889812,NVIDIA GH200 120GB,720,0.32386714592576027,DLinear,139680.0,139680.0,36.41357421875,70.3623046875,1,1.330902287736535
Traffic,0.03185952,NVIDIA GH200 120GB,96,0.3220627782866359,DLinear,18624.0,18624.0,34.28271484375,66.74169921875,1,1.4471916831098497
Traffic,0.06371904,NVIDIA GH200 120GB,192,0.34151370637118816,DLinear,37248.0,37248.0,35.61572265625,68.53271484375,1,1.4517884701490402
Traffic,0.11150832,NVIDIA GH200 120GB,336,0.3259983379393816,DLinear,65184.0,65184.0,37.61669921875,71.22021484375,1,1.4453209470957518
Traffic,0.2389464,NVIDIA GH200 120GB,720,0.3290324006229639,DLinear,139680.0,139680.0,42.95166015625,78.38623046875,1,1.517242204863578
Weather,0.00077616,NVIDIA GH200 120GB,96,0.31937933526933193,DLinear,18624.0,18624.0,32.1259765625,64.38037109375,1,1.36405723169446
Weather,0.00155232,NVIDIA GH200 120GB,192,0.28947917744517326,DLinear,37248.0,37248.0,32.228515625,64.75244140625,1,1.3731461949646473
Weather,0.00271656,NVIDIA GH200 120GB,336,0.3258609212934971,DLinear,65184.0,65184.0,32.3818359375,65.30810546875,1,1.3453376945108175
Weather,0.0058212,NVIDIA GH200 120GB,720,0.3207314992323518,DLinear,139680.0,139680.0,32.7890625,66.79052734375,1,1.501296297647059
ETTh1,0.03048397,NVIDIA GH200 120GB,96,8.426469017285854,LatentFlow,1483766.0,686787.0,38.88671875,91.7685546875,1,195.40445440798067
ETTh1,0.223670815,NVIDIA GH200 120GB,192,62.88031144067645,LatentFlow,1577610.0,687197.0,41.6474609375,96.76904296875,1,182.51002430915833
ETTh1,0.040775922,NVIDIA GH200 120GB,336,8.38309251703322,LatentFlow,1718770.0,688009.0,39.96044921875,107.2119140625,1,197.0506669022143
ETTh1,0.059283058,NVIDIA GH200 120GB,720,8.033275400521234,LatentFlow,2097306.0,691229.0,41.69140625,152.0849609375,1,206.15103479940444
ETTh2,0.03048397,NVIDIA GH200 120GB,96,7.5900099240243435,LatentFlow,1453518.0,656539.0,38.771484375,90.51953125,1,185.891385236755
ETTh2,0.034402914,NVIDIA GH200 120GB,192,8.404165785759687,LatentFlow,1547362.0,656949.0,39.201171875,95.41748046875,1,199.622721131891
ETTh2,0.243954415,NVIDIA GH200 120GB,336,67.25984653457999,LatentFlow,1688522.0,657761.0,43.69482421875,105.70654296875,1,196.11814548261464
