dataset,horizons,mean_across_horizons,metric,model
ETTh1,4,0.4599416777977253,mse,LatentFlow
ETTh2,4,0.38188219221013564,mse,LatentFlow
ETTm1,4,0.41164259516731083,mse,LatentFlow
ETTm2,4,0.28496300522387524,mse,LatentFlow
Weather,4,0.25190032330813883,mse,LatentFlow
Electricity,4,0.18383407351043726,mse,LatentFlow
Traffic,4,0.46009722651035073,mse,LatentFlow
ETTh1,4,0.48767642997449223,mse,VPNet
ETTh2,4,0.4042238743786283,mse,VPNet
ETTm1,4,0.4487494444725654,mse,VPNet
ETTm2,4,0.3054855155428102,mse,VPNet
Weather,4,0.25610091981250793,mse,VPNet
Electricity,4,0.19960977091938215,mse,VPNet
Traffic,4,0.49557920517194687,mse,VPNet
ETTh1,4,0.4657321577642887,mse,xCPD
ETTh2,4,0.5597213675850369,mse,xCPD
ETTm1,4,0.41265914141968296,mse,xCPD
ETTm2,4,0.3610951478291587,mse,xCPD
Weather,4,0.26464608662080824,mse,xCPD
Electricity,4,0.20843794392471288,mse,xCPD
Traffic,4,0.5531320144909766,mse,xCPD
ETTh1,4,0.46143600186300743,mse,TimePro
ETTh2,4,0.38066098618546856,mse,TimePro
ETTm1,4,0.41141121193744257,mse,TimePro
ETTm2,4,0.29264994890539087,mse,TimePro
Weather,4,0.2641933610071312,mse,TimePro
Electricity,4,0.1867562323107807,mse,TimePro
Traffic,4,0.46154024754876116,mse,TimePro
ETTh1,4,0.45452046752169006,mse,iTransformer
ETTh2,4,0.38171954181193607,mse,iTransformer
ETTm1,4,0.42235502427562016,mse,iTransformer
ETTm2,4,0.29602638013228194,mse,iTransformer
Weather,4,0.28117298049065653,mse,iTransformer
Electricity,4,0.21523984182892328,mse,iTransformer
Traffic,4,0.5334181077724797,mse,iTransformer
ETTh1,4,0.4706933820510214,mse,TimeMixer
ETTh2,4,0.3812033583787461,mse,TimeMixer
ETTm1,4,0.42069953528957216,mse,TimeMixer
ETTm2,4,0.2931257427925761,mse,TimeMixer
Weather,4,0.2763199606586012,mse,TimeMixer
Electricity,4,0.22342866463934863,mse,TimeMixer
Traffic,4,0.6220213994486046,mse,TimeMixer
ETTh1,4,0.46719427209781433,mse,DLinear
ETTh2,4,0.5494977799440723,mse,DLinear
ETTm1,4,0.42319749050347016,mse,DLinear
ETTm2,4,0.37057071337041547,mse,DLinear
Weather,4,0.27061370947348123,mse,DLinear
Electricity,4,0.2141562736421433,mse,DLinear
Traffic,4,0.6340219304083125,mse,DLinear
ETTh1,4,0.4468601165736067,mae,LatentFlow
ETTh2,4,0.40430821084892704,mae,LatentFlow
ETTm1,4,0.41653312397854403,mae,LatentFlow
ETTm2,4,0.3281254888604693,mae,LatentFlow
Weather,4,0.27956953469253903,mae,LatentFlow
Electricity,4,0.27582072489189446,mae,LatentFlow
Traffic,4,0.30238133059143957,mae,LatentFlow
ETTh1,4,0.4700209214848424,mae,VPNet
ETTh2,4,0.41929876670574223,mae,VPNet
ETTm1,4,0.4404098691541383,mae,VPNet
ETTm2,4,0.3468644418340371,mae,VPNet
Weather,4,0.28280261822247443,mae,VPNet
Electricity,4,0.2901497413908264,mae,VPNet
Traffic,4,0.3313788759518881,mae,VPNet
ETTh1,4,0.4605714408352691,mae,xCPD
ETTh2,4,0.5167323108299898,mae,xCPD
ETTm1,4,0.4144746492008738,mae,xCPD
ETTm2,4,0.40492142013079796,mae,xCPD
Weather,4,0.31398494942344346,mae,xCPD
Electricity,4,0.298281079479241,mae,xCPD
Traffic,4,0.3406477422456099,mae,xCPD
ETTh1,4,0.4499121388815247,mae,TimePro
ETTh2,4,0.4052516865727228,mae,TimePro
ETTm1,4,0.41301687579336827,mae,TimePro
ETTm2,4,0.3348285582204575,mae,TimePro
Weather,4,0.2852081858229602,mae,TimePro
Electricity,4,0.2757776904849495,mae,TimePro
Traffic,4,0.3026711724689086,mae,TimePro
ETTh1,4,0.4488872410310814,mae,iTransformer
ETTh2,4,0.4062484907941748,mae,iTransformer
ETTm1,4,0.4161012812646868,mae,iTransformer
ETTm2,4,0.3387684282224456,mae,iTransformer
Weather,4,0.2981487285648948,mae,iTransformer
Electricity,4,0.29929699945946225,mae,iTransformer
Traffic,4,0.3617081516875635,mae,iTransformer
ETTh1,4,0.4538136845973316,mae,TimeMixer
ETTh2,4,0.4047106118098241,mae,TimeMixer
ETTm1,4,0.4148462926974331,mae,TimeMixer
ETTm2,4,0.3360438620500462,mae,TimeMixer
Weather,4,0.297407777953528,mae,TimeMixer
Electricity,4,0.30814100611773454,mae,TimeMixer
Traffic,4,0.39566132472688326,mae,TimeMixer
ETTh1,4,0.4626066757283733,mae,DLinear
ETTh2,4,0.5175026751999544,mae,DLinear
ETTm1,4,0.4222526198664655,mae,DLinear
ETTm2,4,0.41566452345510463,mae,DLinear
Weather,4,0.3251940181487421,mae,DLinear
Electricity,4,0.3044769331410282,mae,DLinear
Traffic,4,0.3933230686478407,mae,DLinear
