dataset,horizon,mae,model,mse,seed
ETTh1,96,0.4146561245373236,DLinear,0.4009885470480086,42
ETTh1,192,0.44508439462779253,DLinear,0.45017438553921907,42
ETTh1,336,0.4804377164744213,DLinear,0.5045433140179574,42
ETTh1,720,0.5102484672739556,DLinear,0.5130708417860723,42
ETTh2,96,0.4016934833639125,DLinear,0.3482738448889263,42
ETTh2,192,0.47937843907634975,DLinear,0.4815000619074113,42
ETTh2,336,0.5408310513854363,DLinear,0.5905564257298266,42
ETTh2,720,0.6481077269741191,DLinear,0.7776607872501249,42
ETTm1,96,0.3920103683066241,DLinear,0.3720978392880944,42
ETTm1,192,0.4069109062004273,DLinear,0.40169199332512506,42
ETTm1,336,0.42820496669188324,DLinear,0.4321570895659616,42
ETTm1,720,0.46188423826692726,DLinear,0.4868430398346994,42
ETTm2,96,0.30459766976818686,DLinear,0.2042357818998619,42
ETTm2,192,0.369073640145283,DLinear,0.28993328319475303,42
ETTm2,336,0.44143701256215284,DLinear,0.3973919388315787,42
ETTm2,720,0.5475497713447958,DLinear,0.5907218495554681,42
Electricity,96,0.28673238925259614,DLinear,0.19923456493612005,42
Electricity,192,0.28893223977762306,DLinear,0.19843638520796741,42
Electricity,336,0.3059744989832285,DLinear,0.21211082505368084,42
Electricity,720,0.33626860455066515,DLinear,0.2468433193708048,42
Traffic,96,0.4057527313006249,DLinear,0.6596170212833717,42
Traffic,192,0.38027249755563264,DLinear,0.6076797072321073,42
Traffic,336,0.3831526188785204,DLinear,0.6143340358878973,42
Traffic,720,0.40411442685658494,DLinear,0.6544569572298735,42
Weather,96,0.26434383414797763,DLinear,0.2017321946514836,42
Weather,192,0.301156215725268,DLinear,0.24117005054884896,42
Weather,336,0.34072593351581,DLinear,0.2868128403545677,42
Weather,720,0.39455008920591284,DLinear,0.3527397523390246,42
ETTh1,96,0.4114095289177025,LatentFlow,0.4032240676423306,42
ETTh1,96,0.4114736750236564,LatentFlow,0.4003103101315677,43
ETTh1,96,0.41170120836883933,LatentFlow,0.4035129706594815,44
ETTh1,96,0.41118490576713507,LatentFlow,0.39887433377781456,45
ETTh1,96,0.4071548060371273,LatentFlow,0.39336411556933,46
ETTh1,192,0.43770838134248974,LatentFlow,0.44768580283511344,42
ETTh1,192,0.43839850534904096,LatentFlow,0.44978147276794406,43
ETTh1,192,0.4332067512963872,LatentFlow,0.4469198834136318,44
ETTh1,192,0.44622507081657264,LatentFlow,0.46477881293448897,45
ETTh1,192,0.4362416943355538,LatentFlow,0.447930855774597,46
ETTh1,336,0.45415585197978037,LatentFlow,0.4817180077371921,42
ETTh1,336,0.4605197977717322,LatentFlow,0.4966021921924544,43
ETTh1,336,0.45960576987732715,LatentFlow,0.49471651836941954,44
ETTh1,336,0.4569962442296437,LatentFlow,0.48986910685960405,45
ETTh1,336,0.4536123250953631,LatentFlow,0.4820595616682389,46
ETTh1,720,0.4786009474572534,LatentFlow,0.49215886750318655,42
ETTh1,720,0.48321969007132837,LatentFlow,0.5091477053166293,43
ETTh1,720,0.4802329831879081,LatentFlow,0.4984691149224758,44
ETTh1,720,0.48077424157540805,LatentFlow,0.4952980946486845,45
ETTh1,720,0.48477995297188375,LatentFlow,0.5024117612303217,46
ETTh2,96,0.34268046750302417,LatentFlow,0.2934846773242975,42
