ci95_high,ci95_low,dataset,horizon,mean,metric,model,paper_value,seeds,std
0.40275687734703836,0.396438149625627,ETTh1,96,0.3998571595561049,mse,LatentFlow,0.3999 +/- 0.0041,5,0.004124073746108687
0.4115524411794619,0.4088566951893574,ETTh1,96,0.41058482482289216,mae,LatentFlow,0.4106 +/- 0.0019,5,0.0019262417913777441
0.4582075589970086,0.4474284456544175,ETTh1,192,0.45141936554515505,mse,LatentFlow,0.4514 +/- 0.0075,5,0.007541751415934661
0.44266308242686253,0.43502771711988714,ETTh1,192,0.4383560806280089,mae,LatentFlow,0.4384 +/- 0.0048,5,0.004830334946159292
0.4945013055966704,0.4834848491340932,ETTh1,336,0.4889930773653818,mse,LatentFlow,0.4890 +/- 0.0069,5,0.006935850904369258
0.4594494759055524,0.4545065196759862,ETTh1,336,0.4569779977907693,mae,LatentFlow,0.4570 +/- 0.0031,5,0.0031121586498625915
0.5050305943657788,0.4946766078452436,ETTh1,720,0.49949710872425956,mse,LatentFlow,0.4995 +/- 0.0066,5,0.006598626533260386
0.48355850643497755,0.47968842057314615,ETTh1,720,0.4815215630527563,mae,LatentFlow,0.4815 +/- 0.0025,5,0.002462197349501501
0.3021914366244088,0.29567539096296447,ETTh2,96,0.29891568358539466,mse,LatentFlow,0.2989 +/- 0.0042,5,0.004183591519357617
0.3498912142313086,0.34410912479897326,ETTh2,96,0.34686195753145965,mae,LatentFlow,0.3469 +/- 0.0037,5,0.0036707473792212983
0.38644837394638293,0.37472724657170686,ETTh2,192,0.3812715254201671,mse,LatentFlow,0.3813 +/- 0.0073,5,0.007316704367306876
0.39991619132602846,0.3934584283679273,ETTh2,192,0.396829046543823,mae,LatentFlow,0.3968 +/- 0.0043,5,0.004303808608100066
0.42449470647374943,0.41374009035836296,ETTh2,336,0.4191173984160561,mse,LatentFlow,0.4191 +/- 0.0071,5,0.007121923687644666
0.4330769548507525,0.42593331794610806,ETTh2,336,0.42948495614363436,mae,LatentFlow,0.4295 +/- 0.0047,5,0.004677661961489129
0.43474486125615047,0.4217972225708332,ETTh2,720,0.4282241614189245,mse,LatentFlow,0.4282 +/- 0.0086,5,0.008575877322887527
0.44801943160896307,0.44009433474461945,ETTh2,720,0.4440568831767912,mae,LatentFlow,0.4441 +/- 0.0052,5,0.0051959388011323685
0.34196404305847905,0.3340189105969264,ETTm1,96,0.3374922981280094,mse,LatentFlow,0.3375 +/- 0.0053,5,0.00527723027552637
0.37686480572139935,0.3722730641096249,ETTm1,96,0.37442588276975886,mae,LatentFlow,0.3744 +/- 0.0029,5,0.0029351535004604515
0.3900445717781436,0.380019634924226,ETTm1,192,0.38482559411436706,mse,LatentFlow,0.3848 +/- 0.0064,5,0.006434032919584808
0.4010815000994442,0.3966064515630595,ETTm1,192,0.3988439758312518,mae,LatentFlow,0.3988 +/- 0.0029,5,0.002875947018206939
0.4437639932801611,0.41556506519863373,ETTm1,336,0.42623907468030364,mse,LatentFlow,0.4262 +/- 0.0195,5,0.019495349810181625
0.43209464854402413,0.4186797288484557,ETTm1,336,0.4238736193589995,mae,LatentFlow,0.4239 +/- 0.0090,5,0.00895947981082419
0.5084415040432345,0.48758532344989164,ETTm1,720,0.49801341374656305,mse,LatentFlow,0.4980 +/- 0.0134,5,0.013387270111306297
0.475238632977642,0.46273940293068955,ETTm1,720,0.4689890179541658,mae,LatentFlow,0.4690 +/- 0.0080,5,0.008010914136408896
0.17636464974173932,0.17383325671146,ETTm2,96,0.17509895322659969,mse,LatentFlow,0.1751 +/- 0.0016,5,0.0016285391930009458
0.25983391190886906,0.25839096883352664,ETTm2,96,0.259017499206438,mae,LatentFlow,0.2590 +/- 0.0010,5,0.0009638346216932807
0.24166033868648693,0.23992181355655512,ETTm2,192,0.24087899468096613,mse,LatentFlow,0.2409 +/- 0.0011,5,0.0010889885526098474
0.3019701063006376,0.30035940568322816,ETTm2,192,0.3011702850617779,mae,LatentFlow,0.3012 +/- 0.0010,5,0.0010384899027055443
0.30904236448742467,0.30698079878308027,ETTm2,336,0.30796836746673945,mse,LatentFlow,0.3080 +/- 0.0012,5,0.001242734778568171
0.3464070627552541,0.3450195295725675,ETTm2,336,0.3458295614289252,mae,LatentFlow,0.3458 +/- 0.0009,5,0.0009312161857955247
0.42018336216760394,0.41301150014776533,ETTm2,720,0.41590570552119566,mse,LatentFlow,0.4159 +/- 0.0048,5,0.004799115743014372
0.4082490136196788,0.40478087922081923,ETTm2,720,0.40648460974473616,mae,LatentFlow,0.4065 +/- 0.0022,5,0.0022252136225643943
