dataset,horizon,model,seed,mse,mae
ETTh1,96,LatentFlow,42,0.4032240676423306,0.4114095289177025
ETTh1,192,LatentFlow,42,0.44768580283511344,0.43770838134248974
ETTh1,336,LatentFlow,42,0.4817180077371921,0.45415585197978037
ETTh1,720,LatentFlow,42,0.49215886750318655,0.4786009474572534
ETTh2,96,LatentFlow,42,0.2934846773242975,0.34268046750302417
ETTh2,192,LatentFlow,42,0.36935875294162884,0.3902497946414888
ETTh2,336,LatentFlow,42,0.4155208339614433,0.4269980570079633
ETTh2,720,LatentFlow,42,0.4182081405769548,0.43854124645959064
ETTm1,96,LatentFlow,42,0.34608704034718446,0.3788299991861661
ETTm1,192,LatentFlow,42,0.3813478510583697,0.3980640535317856
ETTm1,336,LatentFlow,42,0.4224221247003277,0.4211018372895208
ETTm1,720,LatentFlow,42,0.5111196980764312,0.47642321199393256
ETTm2,96,LatentFlow,42,0.17361310991953224,0.2580017761321096
ETTm2,192,LatentFlow,42,0.24021859779491156,0.2998266398193433
ETTm2,336,LatentFlow,42,0.3080357600960941,0.34600727935710557
ETTm2,720,LatentFlow,42,0.4151268912819473,0.4080426387217376
Electricity,96,LatentFlow,42,0.15570696800612818,0.2508596638764409
Electricity,192,LatentFlow,42,0.16815630626409142,0.26124667811432056
Electricity,336,LatentFlow,42,0.18853918673404638,0.2815852144186746
Electricity,720,LatentFlow,42,0.21688893757710398,0.3067955012720217
Traffic,96,LatentFlow,42,0.43147983364527814,0.2922119657591534
Traffic,192,LatentFlow,42,0.45163088284431097,0.2996243785765195
Traffic,336,LatentFlow,42,0.4595566871458172,0.2988856047073473
Traffic,720,LatentFlow,42,0.49146881208700643,0.31807813636845
Weather,96,LatentFlow,42,0.16728448753957223,0.21390171667402463
Weather,192,LatentFlow,42,0.21354596359925804,0.2551927824683744
Weather,336,LatentFlow,42,0.27262603924511813,0.2985933936166014
Weather,720,LatentFlow,42,0.35555996850853744,0.3532897798650574
